fold,method,alpha,type,K,TopN,RMSE,MAD,lambda
4,acos,0.05,optimized,10,5,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,10,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,15,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,20,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,25,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,30,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,35,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,40,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,45,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.05,optimized,10,50,1.0458184970428308,0.8364865813101854,0.025
4,acos,0.2,optimized,20,5,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,10,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,15,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,20,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,25,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,30,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,35,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,40,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,45,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.2,optimized,20,50,1.0221192911095274,0.8168892881327494,0.025
4,acos,0.3,optimized,30,5,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,10,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,15,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,20,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,25,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,30,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,35,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,40,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,45,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.3,optimized,30,50,1.0140985213597502,0.8086827586225996,0.025
4,acos,0.35,optimized,40,5,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,10,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,15,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,20,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,25,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,30,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,35,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,40,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,45,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.35,optimized,40,50,1.0127171534797854,0.8071146055853181,0.025
4,acos,0.4,optimized,50,5,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,10,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,15,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,20,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,25,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,30,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,35,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,40,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,45,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,50,50,1.0129208627909039,0.8074039911343186,0.025
4,acos,0.4,optimized,60,5,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,10,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,15,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,20,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,25,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,30,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,35,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,40,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,45,1.012759637206517,0.8066490596508112,0.025
4,acos,0.4,optimized,60,50,1.012759637206517,0.8066490596508112,0.025
4,acos,0.45,optimized,70,5,1.01367119606303,0.8072962159173752,0.025
4,acos,0.45,optimized,70,10,1.01367119606303,0.8072962159173752,0.025
