fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
2,euclidean,20,4.0,0.722070918863972,coarse,3.5,0.5,0.5
2,euclidean,30,4.5,0.728165139439201,coarse,4.0,0.5,0.5
2,euclidean,40,5.0,0.7320768469090159,coarse,4.0,1.0,1.0
2,euclidean,50,5.0,0.7352845582268059,coarse,4.5,0.5,0.5
2,euclidean,60,5.0,0.737696919358289,coarse,4.5,0.5,0.5
2,euclidean,70,6.0,0.7388639375097332,coarse,4.5,1.5,1.5
2,euclidean,80,6.0,0.7396033563096087,coarse,4.5,1.5,1.5
2,euclidean,90,6.0,0.7402129822227619,coarse,5.0,1.0,1.0
2,euclidean,100,6.0,0.7407140461174895,coarse,5.0,1.0,1.0
2,ipwr,10,1.1500000000000006,0.9659802120604296,fine,1.0000000000000004,0.15000000000000013,0.15000000000000013
2,ipwr,20,1.3500000000000008,0.9399094072295764,fine,1.0,0.35000000000000075,0.35000000000000075
2,ipwr,30,1.5,0.9341725775023152,coarse,1.0000000000000004,0.49999999999999956,0.49999999999999956
2,ipwr,40,1.5000000000000009,0.9332616049497868,fine,1.0,0.5000000000000009,0.5000000000000009
2,ipwr,50,2.0,0.9329357062475298,coarse,1.0,1.0,1.0
2,ipwr,60,2.0,0.9334205077000706,coarse,1.1000000000000003,0.8999999999999997,0.8999999999999997
2,ipwr,70,2.0,0.9334476388588642,coarse,1.1500000000000006,0.8499999999999994,0.8499999999999994
2,ipwr,80,2.0,0.9335785756335688,coarse,1.2000000000000006,0.7999999999999994,0.7999999999999994
2,ipwr,90,2.0,0.9339934590577388,coarse,1.2500000000000009,0.7499999999999991,0.7499999999999991
2,ipwr,100,2.0,0.9342301068868156,coarse,1.2500000000000002,0.7499999999999998,0.7499999999999998
2,itr,10,0.5,0.9935208117628476,coarse,1.0000000000000004,-0.5000000000000004,0.5000000000000004
2,itr,20,2.0,0.942227997960254,coarse,1.0000000000000004,0.9999999999999996,0.9999999999999996
2,itr,30,3.5,0.9333700480009934,coarse,1.0,2.5,2.5
2,itr,40,4.5,0.9318268253073294,coarse,1.0,3.5,3.5
2,itr,50,5.5,0.9342788921344248,coarse,1.0,4.5,4.5
2,itr,60,6.0,0.9383284228551474,coarse,1.0,5.0,5.0
2,itr,70,6.5,0.942778550188035,coarse,1.0000000000000004,5.5,5.5
2,itr,80,7.0,0.9466067376336113,coarse,1.0,6.0,6.0
