lambda,optimized_rmse,optimized_alpha,baseline_rmse,delta_rmse,vs_baseline_pct
0.0,1.0260801809298559,3.860392156862745,1.007376150477505,0.018704030452350917,1.8567076899214903
0.001,1.0249676915223176,3.69,1.007376150477505,0.017591541044812642,1.7462733296270812
