fold,method,K,TopN,phase,alpha,mse,rmse,regularization_penalty,regularized_score,precision,recall
6,msd,10,5,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.6771474019088016,0.5490411922941061
6,msd,10,10,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.6451665572556347,0.7467841852967834
6,msd,10,15,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.6264444698697084,0.8379932520405675
6,msd,10,20,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.614022658109526,0.8973861655975743
6,msd,10,25,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.6028221313398167,0.9314652264118048
6,msd,10,30,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.5955693233651745,0.9541978467151399
6,msd,10,35,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.5904034798052467,0.9698029836255454
6,msd,10,40,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.5867995024947336,0.9803728278950662
6,msd,10,45,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.5837994647694553,0.9867104031813253
6,msd,10,50,coarse,0.0,1.1389884090160691,1.067233999184841,0.0,1.1389884090160691,0.5817190853565856,0.9912650650895826
6,msd,10,5,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.7013255567338281,0.5616032448946224
6,msd,10,10,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.6601188372132168,0.756356792602827
6,msd,10,15,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.636483352867234,0.8473620538780499
6,msd,10,20,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.6199611522770764,0.903164302634421
6,msd,10,25,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.608251611721577,0.9375306975909596
6,msd,10,30,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.5998464530929934,0.9594949839732865
6,msd,10,35,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.5931606378116094,0.9732391271305764
6,msd,10,40,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.5887613264607995,0.982923132816282
6,msd,10,45,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.5849541719687011,0.9885552114582846
6,msd,10,50,coarse,0.5,0.9829746972756035,0.991450804263935,0.0,0.9829746972756035,0.5824826060352706,0.9926354872231604
6,msd,10,5,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.7015376458112407,0.5617011018277862
6,msd,10,10,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.6601188372132168,0.756356792602827
6,msd,10,15,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.6364126565080966,0.8472902921270632
6,msd,10,20,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.6200141745464296,0.903207835480628
6,msd,10,25,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.608251611721577,0.9375306975909596
6,msd,10,30,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.5998464530929934,0.9594949839732865
6,msd,10,35,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.5931606378116094,0.9732391271305764
6,msd,10,40,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.588787837595476,0.9829615766114534
6,msd,10,45,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.5849541719687011,0.9885552114582846
6,msd,10,50,coarse,1.0,0.9822413034464743,0.9910808763398042,0.0,0.9822413034464743,0.5825038149430118,0.9926570157484563
6,msd,10,5,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.7013255567338281,0.5615473266471004
6,msd,10,10,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.6601188372132167,0.756370247931137
6,msd,10,15,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.6364126565080966,0.8472902921270632
6,msd,10,20,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.6200141745464296,0.903207835480628
6,msd,10,25,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.6082091939060945,0.9374876405403675
6,msd,10,30,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.5998464530929936,0.9594898397617462
6,msd,10,35,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.5931606378116094,0.9732391271305764
6,msd,10,40,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.5888408598648291,0.9830265500886981
6,msd,10,45,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.5849777374217471,0.9885802446272335
6,msd,10,50,coarse,1.5,0.9816302910879656,0.9907725728379675,0.0,0.9816302910879656,0.5825038149430118,0.9926570157484563
6,msd,10,5,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.7013255567338281,0.5615473266471003
6,msd,10,10,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.6601188372132167,0.756370247931137
6,msd,10,15,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.6364126565080966,0.8472902921270632
6,msd,10,20,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.6200141745464296,0.903207835480628
6,msd,10,25,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.6082091939060945,0.9374876405403675
6,msd,10,30,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.5998111049134249,0.9594539588862528
6,msd,10,35,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.5931606378116094,0.9732391271305764
6,msd,10,40,coarse,2.0,0.9811191084590637,0.9905145675148164,0.0,0.9811191084590637,0.5888408598648291,0.9830265500886981
