method,RMSE_mean,RMSE_std,n_folds,MAD_mean,MAD_std,RMSE_ci95_lower,RMSE_ci95_upper,RMSE_cv,MAD_ci95_lower,MAD_ci95_upper,MAD_cv,Precision_mean,Precision_std,Recall_mean,Recall_std
ipwr,0.9556746345178694,0.0036384459433547417,100,0.7602541232584181,0.0023066145969911377,0.9549614991129719,0.9563877699227669,0.38072015432221973,0.7598020267974078,0.7607062197194284,0.30340047181922297,0.589217399527071,,0.9741172791559182,
cpcc,0.9693788403249964,0.00788955246244459,100,0.7637505209136441,0.005222215553164566,0.9678324880423573,0.9709251926076355,0.8138771070966969,0.7627269666652239,0.7647740751620644,0.683759344205414,0.5909671344157241,,0.97620112891274,
msd,0.9701418826970806,0.006957497493496814,100,0.7671330932670357,0.006840585276078254,0.9687782131883552,0.9715055522058059,0.7171628828305353,0.7657923385529244,0.768473847981147,0.891707753989056,0.5904369117221928,,0.9749704518358908,
spcc,0.9894218692653938,0.008916998289650792,100,0.7850154660482643,0.00649269155517366,0.9876741376006222,0.9911696009301654,0.9012331914869951,0.7837428985034502,0.7862880335930784,0.8270781705560023,0.5908610898770179,,0.9760146752460084,
chebyshev,0.9894639495221536,0.00419713951051893,100,0.7870214134950989,0.003493358212519864,0.9886413101780919,0.9902865888662152,0.4241831663039239,0.786336715285445,0.7877061117047528,0.4438707959680716,0.5899597112980147,,0.9740865662591968,
pcc,0.9903804028181931,0.009140420033829923,100,0.7856878379726381,0.006594626227035118,0.9885888804915623,0.9921719251448238,0.9229201231991517,0.7843952912321392,0.7869803847131369,0.8393443182284284,0.5908610898770179,,0.9759984695416004,
jmsd,0.9939285308800165,0.0028563776819661214,100,0.7883047005360412,0.0024793227886233077,0.9933686808543511,0.9944883809056819,0.2873826027951031,0.787818753269471,0.7887906478026113,0.3145132569851971,0.5907550453383117,,0.9757246178960226,
src,0.9971906496338033,0.01086983008503481,100,0.7925916966015154,0.008055970642310865,0.9950601629371365,0.9993211363304701,1.09004532774415,0.7910127263556225,0.7941706668474083,1.016408659951064,0.5909141121463709,,0.9758227454582996,
kendall_tau_b,0.9974564579158549,0.010713404096379019,100,0.7921763213206178,0.007478261904339755,0.9953566307129647,0.9995562851187452,1.0740723578815905,0.7907105819873672,0.7936420606538683,0.9440148238554932,0.5908080676076648,,0.9759249342171308,
cosine,0.997918805261954,0.005550190447476541,100,0.7911884964557595,0.004387832145697846,0.9968309679342485,0.9990066425896594,0.5561765564704049,0.7903284813552027,0.7920485115563163,0.5545874548674253,0.5910201566850772,,0.9755124412536152,
jaccard,1.001771616164663,0.004097012747134874,100,0.7954729133390422,0.0031340777198733656,1.0009686016662247,1.0025746306631014,0.4089767249366187,0.794858634105947,0.7960871925721374,0.3939892442997082,0.5908080676076648,,0.9758267114051408,
euclidean,1.0051001617617468,0.007266090126855168,100,0.7957025054401409,0.005491521031068286,1.0036760080968832,1.0065243154266104,0.7229219935771489,0.7946261673180515,0.7967788435622303,0.6901475103475594,0.5890053104496583,,0.9731355764098232,
acos,1.009546943498445,0.009249728506266593,100,0.804264288172859,0.009138029769069071,1.0077339967112167,1.0113598902856733,0.9162256956781961,0.8024732343381215,0.8060553420075965,1.1361973798226201,0.5901718003754274,,0.9750411025854332,
itr,1.0163901022003536,0.02441152542545221,100,0.8006761212115105,0.017077677391423473,1.011605443216965,1.0211747611837423,2.401787008020287,0.7973288964427916,0.8040233459802295,2.1329070443093867,0.590489933991546,,0.975339081242924,
manhattan,1.0217453486269863,0.007673520224094417,100,0.8100073081351646,0.0060265354660559815,1.0202413386630638,1.0232493585909088,0.7510208130045354,0.8088261071838176,0.8111885090865116,0.7440100114566304,0.5883690432174208,,0.9719650017991772,
ari,1.0230080590839692,0.009912397032723539,100,0.810059880933023,0.008436413286371082,1.0210652292655553,1.024950888902383,0.9689461333862204,0.8084063439288942,0.8117134179371517,1.041455512727536,0.5887401991028928,,0.9726810956271664,
ami,1.0260278324923906,0.011847279410643374,100,0.8132381114546798,0.009650761444142938,1.0237057657279045,1.0283498992568767,1.1546742725160175,0.8113465622116278,0.8151296606977319,1.186707965134607,0.5895355331431897,,0.9736478832573884,
