fold,method,K,TopN,type,alpha,recall_ow,precision_ow
1,acos,50,45,optimized,0.55,0.0513994447965471,0.0105482134116495
1,acos,50,50,optimized,0.55,0.0586996619614091,0.010748898678414
1,acos,60,5,optimized,0.6,0.0074291883737963,0.011453744493392
1,acos,60,10,optimized,0.6,0.0111066333923602,0.0098017621145374
1,acos,60,15,optimized,0.6,0.0139724839257306,0.008957415565345
1,acos,60,20,optimized,0.6,0.0178187164623067,0.0084801762114537
1,acos,60,25,optimized,0.6,0.021199569094397,0.008237885462555
1,acos,60,30,optimized,0.6,0.0266434914482993,0.008590308370044
1,acos,60,35,optimized,0.6,0.0328677825562721,0.0090937696664568
1,acos,60,40,optimized,0.6,0.0394737676664352,0.0092786343612334
1,acos,60,45,optimized,0.6,0.0464847549478739,0.0093979441997063
1,acos,60,50,optimized,0.6,0.0550204757547518,0.0097356828193832
1,acos,70,5,optimized,0.6,0.0045321284500714,0.0088105726872246
1,acos,70,10,optimized,0.6,0.0067471399961099,0.0070484581497797
1,acos,70,15,optimized,0.6,0.0096625635521305,0.0066813509544787
1,acos,70,20,optimized,0.6,0.0113587633368724,0.0060572687224669
1,acos,70,25,optimized,0.6,0.0145019696018821,0.0062114537444933
1,acos,70,30,optimized,0.6,0.0182237201608707,0.0064977973568281
1,acos,70,35,optimized,0.6,0.0226743830004276,0.0064820641913152
1,acos,70,40,optimized,0.6,0.0292035209456332,0.0068557268722466
1,acos,70,45,optimized,0.6,0.036447884409272,0.0073910915320606
1,acos,70,50,optimized,0.6,0.0437726394866063,0.0079295154185022
1,acos,80,5,optimized,0.65,0.0037590349711617,0.008590308370044
1,acos,80,10,optimized,0.65,0.0060435381231803,0.0069383259911894
1,acos,80,15,optimized,0.65,0.0083029317200233,0.0065345080763582
1,acos,80,20,optimized,0.65,0.0126012900244303,0.0068281938325991
1,acos,80,25,optimized,0.65,0.0151610055354127,0.0064757709251101
1,acos,80,30,optimized,0.65,0.0189624065718317,0.0067547723935389
1,acos,80,35,optimized,0.65,0.0215356440866083,0.0066393958464443
1,acos,80,40,optimized,0.65,0.0258546766501805,0.0065253303964757
1,acos,80,45,optimized,0.65,0.0314415221765246,0.0069260890846793
1,acos,80,50,optimized,0.65,0.0392266751924202,0.0074008810572687
1,acos,90,5,optimized,0.65,0.002182263853098,0.0052863436123348
1,acos,90,10,optimized,0.65,0.004981369518538,0.0053964757709251
1,acos,90,15,optimized,0.65,0.0076060464900256,0.0052129221732745
1,acos,90,20,optimized,0.65,0.0102701255885675,0.0052312775330396
1,acos,90,25,optimized,0.65,0.0127887117614274,0.0054625550660792
1,acos,90,30,optimized,0.65,0.0154248597292927,0.0055433186490455
1,acos,90,35,optimized,0.65,0.0195896880652199,0.0055066079295154
1,acos,90,40,optimized,0.65,0.0231344108098787,0.0056442731277533
1,acos,90,45,optimized,0.65,0.0276945413775533,0.0059716103768967
1,acos,90,50,optimized,0.65,0.0326202556837657,0.0062334801762114
1,acos,100,5,optimized,0.65,0.0014939224372365,0.0037444933920704
1,acos,100,10,optimized,0.65,0.0030808955164918,0.0035242290748898
1,acos,100,15,optimized,0.65,0.0051376408263382,0.0038913362701908
1,acos,100,20,optimized,0.65,0.0065243231601571,0.0037444933920704
1,acos,100,25,optimized,0.65,0.0086943365291449,0.0040528634361233
1,acos,100,30,optimized,0.65,0.0115041518011981,0.0044052863436123
1,acos,100,35,optimized,0.65,0.0157643514860544,0.0044052863436123
1,acos,100,40,optimized,0.65,0.0197250585960745,0.0047081497797356
1,acos,100,45,optimized,0.65,0.0246574938232497,0.0051395007342143
1,acos,100,50,optimized,0.65,0.0308869509080263,0.0056607929515418
1,ami,10,5,baseline,1.0,0.0075963892246178,0.0094713656387665
1,ami,10,10,baseline,1.0,0.0150477484100587,0.0098017621145374
1,ami,10,15,baseline,1.0,0.021160030532147,0.0098384728340675
1,ami,10,20,baseline,1.0,0.0293968072362826,0.0104625550660792
1,ami,10,25,baseline,1.0,0.0349331709764575,0.0103083700440528
1,ami,10,30,baseline,1.0,0.0466825415840743,0.0107562408223201
1,ami,10,35,baseline,1.0,0.0520313004639412,0.0101950912523599
1,ami,10,40,baseline,1.0,0.0635519992463897,0.0101872246696035
1,ami,10,45,baseline,1.0,0.0738474519006141,0.0100587371512481
1,ami,10,50,baseline,1.0,0.0823704317568409,0.0100440528634361
1,ami,20,5,baseline,1.0,0.0070977150813471,0.0090308370044052
1,ami,20,10,baseline,1.0,0.0124858957775695,0.0090308370044052
1,ami,20,15,baseline,1.0,0.0182241495720589,0.0088839941262848
1,ami,20,20,baseline,1.0,0.0225832662180949,0.0088656387665198
1,ami,20,25,baseline,1.0,0.0304869121981924,0.0096916299559471
1,ami,20,30,baseline,1.0,0.0394155401659173,0.0097283406754772
1,ami,20,35,baseline,1.0,0.0452523415582212,0.0094713656387665
1,ami,20,40,baseline,1.0,0.0532506173972333,0.009829295154185
1,ami,20,45,baseline,1.0,0.0619901318504928,0.0099118942731277
1,ami,20,50,baseline,1.0,0.0682490078210646,0.0098017621145374
1,ami,30,5,baseline,1.0,0.0057776630794166,0.0088105726872246
1,ami,30,10,baseline,1.0,0.0111815272641467,0.0092511013215859
1,ami,30,15,baseline,1.0,0.0174510014870614,0.0093979441997063
1,ami,30,20,baseline,1.0,0.0244392151823236,0.0093612334801762
1,ami,30,25,baseline,1.0,0.0292034964376978,0.0091629955947136
1,ami,30,30,baseline,1.0,0.0354813153368153,0.0093245227606461
1,ami,30,35,baseline,1.0,0.0416835807410456,0.0096601636249213
1,ami,30,40,baseline,1.0,0.0503495114725936,0.0096640969162995
1,ami,30,45,baseline,1.0,0.0592270690013784,0.0097405775819872
1,ami,30,50,baseline,1.0,0.0687508933919648,0.0099779735682819
1,ami,40,5,baseline,1.0,0.0043064638134604,0.0074889867841409
1,ami,40,10,baseline,1.0,0.0076415685345062,0.00715859030837
1,ami,40,15,baseline,1.0,0.0123894047144419,0.0071953010279001
1,ami,40,20,baseline,1.0,0.0200397709259009,0.0080947136563876
1,ami,40,25,baseline,1.0,0.0245217837861078,0.0083259911894273
1,ami,40,30,baseline,1.0,0.0288759177663188,0.0084067547723935
1,ami,40,35,baseline,1.0,0.0354903736895387,0.0085588420390182
1,ami,40,40,baseline,1.0,0.0462841705542056,0.0092235682819383
1,ami,40,45,baseline,1.0,0.0529782124696594,0.0092266275085658
1,ami,40,50,baseline,1.0,0.0591039362768679,0.0091850220264317
1,ami,50,5,baseline,1.0,0.0033894985764216,0.0068281938325991
1,ami,50,10,baseline,1.0,0.0066260320142893,0.0063876651982378
1,ami,50,15,baseline,1.0,0.012862724142387,0.0076358296622613
1,ami,50,20,baseline,1.0,0.0198393115539964,0.0084801762114537
1,ami,50,25,baseline,1.0,0.0247990651080625,0.0087224669603524
1,ami,50,30,baseline,1.0,0.0298322019614748,0.0087004405286343
1,ami,50,35,baseline,1.0,0.0357897112305139,0.0088420390182504
1,ami,50,40,baseline,1.0,0.0426960811675351,0.0090583700440528
1,ami,50,45,baseline,1.0,0.0516141768653275,0.0094958394517865
1,ami,50,50,baseline,1.0,0.0567995930541972,0.0095374449339207
1,ami,60,5,baseline,1.0,0.0063921119343845,0.0103524229074889
1,ami,60,10,baseline,1.0,0.0101587218258362,0.0091409691629955
1,ami,60,15,baseline,1.0,0.0137679561297757,0.0088105726872246
1,ami,60,20,baseline,1.0,0.0186711731198104,0.0089207048458149
1,ami,60,25,baseline,1.0,0.0239829736499147,0.008590308370044
1,ami,60,30,baseline,1.0,0.029002715814046,0.0083333333333333
1,ami,60,35,baseline,1.0,0.0330369618147988,0.0081812460667086
1,ami,60,40,baseline,1.0,0.0418131059659549,0.0086729074889867
1,ami,60,45,baseline,1.0,0.0488522706705692,0.0087616250611845
1,ami,60,50,baseline,1.0,0.0561738239379813,0.0089647577092511
1,ami,70,5,baseline,1.0,0.0049317298923653,0.0077092511013215
1,ami,70,10,baseline,1.0,0.0093924524479996,0.0078193832599118
1,ami,70,15,baseline,1.0,0.0127062683520182,0.0074889867841409
1,ami,70,20,baseline,1.0,0.0164987181415454,0.0073788546255506
1,ami,70,25,baseline,1.0,0.0197028194349219,0.0074008810572687
1,ami,70,30,baseline,1.0,0.024703012508945,0.0076725403817914
1,ami,70,35,baseline,1.0,0.0318179142620361,0.0081497797356828
1,ami,70,40,baseline,1.0,0.0409392342094837,0.0086453744493392
1,ami,70,45,baseline,1.0,0.0480501255597983,0.0088350465002447
1,ami,70,50,baseline,1.0,0.0535762919428899,0.0090088105726872
1,ami,80,5,baseline,1.0,0.002505670272584,0.0052863436123348
1,ami,80,10,baseline,1.0,0.0062992029146591,0.0067180616740088
1,ami,80,15,baseline,1.0,0.0111582870084396,0.0075624082232011
1,ami,80,20,baseline,1.0,0.0144492459574297,0.00715859030837
1,ami,80,25,baseline,1.0,0.0185471437352503,0.0071365638766519
1,ami,80,30,baseline,1.0,0.0240584411929969,0.007525697503671
1,ami,80,35,baseline,1.0,0.0300289603801594,0.0074575204531151
1,ami,80,40,baseline,1.0,0.0368759306316876,0.0077092511013215
1,ami,80,45,baseline,1.0,0.0406265053566304,0.0075379344101811
1,ami,80,50,baseline,1.0,0.0483228309770361,0.008215859030837
1,ami,90,5,baseline,1.0,0.0028467087202988,0.0061674008810572
1,ami,90,10,baseline,1.0,0.0047770169226586,0.0048458149779735
1,ami,90,15,baseline,1.0,0.0076567652453788,0.0052863436123348
1,ami,90,20,baseline,1.0,0.0097769267537739,0.0051211453744493
1,ami,90,25,baseline,1.0,0.014092790062644,0.0054625550660792
1,ami,90,30,baseline,1.0,0.0175475532998962,0.0053964757709251
1,ami,90,35,baseline,1.0,0.0225874899468396,0.0055380742605412
1,ami,90,40,baseline,1.0,0.0283256770121021,0.0061398678414096
1,ami,90,45,baseline,1.0,0.0335621043423808,0.0064121390112579
1,ami,90,50,baseline,1.0,0.0410704486184026,0.006806167400881
1,ami,100,5,baseline,1.0,0.0029818218061524,0.0041850220264317
1,ami,100,10,baseline,1.0,0.006213898533346,0.0055066079295154
1,ami,100,15,baseline,1.0,0.0081818617508808,0.0052863436123348
1,ami,100,20,baseline,1.0,0.0118839525127892,0.0054515418502202
1,ami,100,25,baseline,1.0,0.0145010648521993,0.0052863436123348
1,ami,100,30,baseline,1.0,0.0165780010820956,0.0053230543318649
1,ami,100,35,baseline,1.0,0.0213997537514124,0.0056010069225928
1,ami,100,40,baseline,1.0,0.0272854235364084,0.005726872246696
1,ami,100,45,baseline,1.0,0.0327516265680259,0.0060695056289769
1,ami,100,50,baseline,1.0,0.0388517498306999,0.0065198237885462
1,ami,10,5,optimized,0.05,0.0075963892246178,0.0094713656387665
1,ami,10,10,optimized,0.05,0.0150901069325934,0.0099118942731277
1,ami,10,15,optimized,0.05,0.0211176720096122,0.0097650513950073
1,ami,10,20,optimized,0.05,0.0293678250892852,0.0104074889867841
1,ami,10,25,optimized,0.05,0.0348255230018956,0.0102202643171806
1,ami,10,30,optimized,0.05,0.0466825415840743,0.0107562408223201
1,ami,10,35,optimized,0.05,0.0520313004639412,0.0101950912523599
1,ami,10,40,optimized,0.05,0.0635519992463897,0.0101872246696035
1,ami,10,45,optimized,0.05,0.0739321689456835,0.0101076847772883
1,ami,10,50,optimized,0.05,0.0824127902793756,0.0100660792951541
1,ami,20,5,optimized,0.05,0.0071589468016651,0.0092511013215859
1,ami,20,10,optimized,0.05,0.0123979002277467,0.0088105726872246
1,ami,20,15,optimized,0.05,0.0181243941356791,0.0087371512481644
1,ami,20,20,optimized,0.05,0.022484902969807,0.0088656387665198
1,ami,20,25,optimized,0.05,0.0301140440522475,0.0094713656387665
1,ami,20,30,optimized,0.05,0.0394155401659173,0.0096916299559471
1,ami,20,35,optimized,0.05,0.045294700080756,0.0094713656387665
1,ami,20,40,optimized,0.05,0.053001383172876,0.0096916299559471
1,ami,20,45,optimized,0.05,0.0617693662078153,0.0098384728340675
1,ami,20,50,optimized,0.05,0.0681984901749741,0.0098017621145374
1,ami,30,5,optimized,0.05,0.0058122891105905,0.0092511013215859
1,ami,30,10,optimized,0.05,0.0111208137357192,0.0094713656387665
1,ami,30,15,optimized,0.05,0.0170915418275206,0.0092511013215859
1,ami,30,20,optimized,0.05,0.0243145771500431,0.0093612334801762
1,ami,30,25,optimized,0.05,0.0291282559177262,0.0091629955947136
1,ami,30,30,optimized,0.05,0.0353298368110904,0.009287812041116
1,ami,30,35,optimized,0.05,0.041025799355011,0.0094398993077407
1,ami,30,40,optimized,0.05,0.0497756013454433,0.009498898678414
1,ami,30,45,optimized,0.05,0.0586558841156181,0.0095937347038668
1,ami,30,50,optimized,0.05,0.0682451774630413,0.0098458149779735
1,ami,40,5,optimized,0.05,0.0044430077207351,0.0074889867841409
1,ami,40,10,optimized,0.05,0.0080983865574036,0.0075991189427312
1,ami,40,15,optimized,0.05,0.0119987141303722,0.0067547723935389
1,ami,40,20,optimized,0.05,0.0195868935081139,0.0075991189427312
1,ami,40,25,optimized,0.05,0.0238042447844718,0.0077533039647577
1,ami,40,30,optimized,0.05,0.0284028646201005,0.0081497797356828
1,ami,40,35,optimized,0.05,0.0358317336138455,0.0084959093769666
1,ami,40,40,optimized,0.05,0.045430211593872,0.0090308370044052
1,ami,40,45,optimized,0.05,0.0523093726875369,0.0090553108174253
1,ami,40,50,optimized,0.05,0.0588325162173755,0.0090969162995594
1,ami,50,5,optimized,0.05,0.0034222561979594,0.0061674008810572
1,ami,50,10,optimized,0.05,0.0062924535657427,0.0060572687224669
1,ami,50,15,optimized,0.05,0.0119523112892077,0.0070484581497797
1,ami,50,20,optimized,0.05,0.0188821892732996,0.0080396475770925
1,ami,50,25,optimized,0.05,0.0241961200087756,0.008590308370044
1,ami,50,30,optimized,0.05,0.0296264074785665,0.0088105726872246
1,ami,50,35,optimized,0.05,0.0351673395371069,0.0088420390182504
1,ami,50,40,optimized,0.05,0.0416311348954432,0.0088656387665198
1,ami,50,45,optimized,0.05,0.0504901374463845,0.009300048947626
1,ami,50,50,optimized,0.05,0.056184113139659,0.0094493392070484
1,ami,60,5,optimized,0.05,0.005078659442906,0.0077092511013215
1,ami,60,10,optimized,0.05,0.0087427838663112,0.0077092511013215
1,ami,60,15,optimized,0.05,0.0118044499804335,0.0074155653450807
1,ami,60,20,optimized,0.05,0.0164377255803083,0.007874449339207
1,ami,60,25,optimized,0.05,0.0223487516035464,0.0081497797356828
1,ami,60,30,optimized,0.05,0.028005352047876,0.0081864904552129
1,ami,60,35,optimized,0.05,0.0321307291420308,0.0080239144115796
1,ami,60,40,optimized,0.05,0.0411958104228654,0.0085627753303964
1,ami,60,45,optimized,0.05,0.0486547426530783,0.0087860988742046
1,ami,60,50,optimized,0.05,0.0564969854931739,0.0089647577092511
1,ami,70,5,optimized,0.05,0.0052885350732659,0.0074889867841409
1,ami,70,10,optimized,0.05,0.0091137864336538,0.0074889867841409
1,ami,70,15,optimized,0.05,0.0136440629043532,0.0076358296622613
1,ami,70,20,optimized,0.05,0.0172804871324628,0.0074339207048458
1,ami,70,25,optimized,0.05,0.0203932240687292,0.0073568281938325
1,ami,70,30,optimized,0.05,0.0254005007135292,0.0075991189427312
1,ami,70,35,optimized,0.05,0.0317229570984303,0.007960981749528
1,ami,70,40,optimized,0.05,0.0408658387017562,0.0084526431718061
1,ami,70,45,optimized,0.05,0.046956554183983,0.0085168869309838
1,ami,70,50,optimized,0.05,0.053324170939384,0.0088105726872246
1,ami,80,5,optimized,0.05,0.0037490663711494,0.0072687224669603
1,ami,80,10,optimized,0.05,0.0072049433575248,0.0074889867841409
1,ami,80,15,optimized,0.05,0.011066976941355,0.0072687224669603
1,ami,80,20,optimized,0.05,0.0143968959513315,0.00715859030837
1,ami,80,25,optimized,0.05,0.0187164758359781,0.0070044052863436
1,ami,80,30,optimized,0.05,0.0244293011430596,0.0071218795888399
1,ami,80,35,optimized,0.05,0.0298564978311043,0.0073316551290119
1,ami,80,40,optimized,0.05,0.0372905866428644,0.0076266519823788
1,ami,80,45,optimized,0.05,0.0424284004974052,0.007880567792462
1,ami,80,50,optimized,0.05,0.0485506423091472,0.0081497797356828
1,ami,90,5,optimized,0.0,0.0006936101099096,0.001101321585903
1,ami,90,10,optimized,0.0,0.0016334385016276,0.0016519823788546
1,ami,90,15,optimized,0.0,0.0031254670311011,0.0014684287812041
1,ami,90,20,optimized,0.0,0.0044838664848621,0.0014867841409691
1,ami,90,25,optimized,0.0,0.0055890205085183,0.0015418502202643
1,ami,90,30,optimized,0.0,0.0087662681221313,0.0020558002936857
1,ami,90,35,optimized,0.0,0.0243259776967974,0.0040906230333543
1,ami,90,40,optimized,0.0,0.0309577971187963,0.0050385462555066
1,ami,90,45,optimized,0.0,0.0388977631093378,0.0058981889378365
1,ami,90,50,optimized,0.0,0.0516860429879379,0.0068502202643171
1,ami,100,5,optimized,0.0,0.00081597917501,0.0008810572687224
1,ami,100,10,optimized,0.0,0.0011543802437611,0.0008810572687224
1,ami,100,15,optimized,0.0,0.0017369499163596,0.0012481644640234
1,ami,100,20,optimized,0.0,0.0054477232740452,0.002533039647577
1,ami,100,25,optimized,0.0,0.0158307743417759,0.0054625550660792
1,ami,100,30,optimized,0.0,0.0314211150054893,0.0077826725403817
1,ami,100,35,optimized,0.0,0.0535046781922643,0.0100692259282567
1,ami,100,40,optimized,0.0,0.0702041225013643,0.0113160792951541
1,ami,100,45,optimized,0.0,0.0832654449362223,0.012163485070974
1,ami,100,50,optimized,0.0,0.0946602392114921,0.0125770925110132
