fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall,lambda
6,pcc,2.3499999999999988,optimized,10,5,0.6880258739983516,0.8294732509239533,0.8060975609756097,0.6334285917882341,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.6529338989042065,0.7239988572615564,1.0303563198737278,0.8150668138798562,0.6529338989042065,0.7239988572615564,0.002
6,pcc,2.3499999999999988,optimized,10,10,0.6880258739983516,0.8294732509239533,0.7191856452726019,0.8054021991580008,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.6075333703647596,0.8760954835735705,1.0303563198737278,0.8150668138798562,0.6075333703647596,0.8760954835735705,0.002
6,pcc,2.3499999999999988,optimized,10,15,0.6880258739983516,0.8294732509239533,0.674588690442349,0.8832287562203648,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.588399005260087,0.9450242941868784,1.0303563198737278,0.8150668138798562,0.588399005260087,0.9450242941868784,0.002
6,pcc,2.3499999999999988,optimized,10,20,0.6880258739983516,0.8294732509239533,0.6432909507924528,0.9273627458832308,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.576497051589184,0.97427937964278,1.0303563198737278,0.8150668138798562,0.576497051589184,0.97427937964278,0.002
6,pcc,2.3499999999999988,optimized,10,25,0.6880258739983516,0.8294732509239533,0.6221646551998379,0.9534053030414698,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.569731042765911,0.9879326181611074,1.0303563198737278,0.8150668138798562,0.569731042765911,0.9879326181611074,0.002
6,pcc,2.3499999999999988,optimized,10,30,0.6880258739983516,0.8294732509239533,0.6085421052669066,0.9699928645260172,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.5661497847633271,0.9947289457261208,1.0303563198737278,0.8150668138798562,0.5661497847633271,0.9947289457261208,0.002
6,pcc,2.3499999999999988,optimized,10,35,0.6880258739983516,0.8294732509239533,0.5993415194962025,0.9811837461517235,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.5642912674287337,0.9974201777526384,1.0303563198737278,0.8150668138798562,0.5642912674287337,0.9974201777526384,0.002
6,pcc,2.3499999999999988,optimized,10,40,0.6880258739983516,0.8294732509239533,0.5926849743929309,0.9882537681275004,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.5634187304494266,0.9988097487672318,1.0303563198737278,0.8150668138798562,0.5634187304494266,0.9988097487672318,0.002
6,pcc,2.3499999999999988,optimized,10,45,0.6880258739983516,0.8294732509239533,0.5874285445385139,0.9920473416415656,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.5629184982845539,0.9991073678148508,1.0303563198737278,0.8150668138798562,0.5629184982845539,0.9991073678148508,0.002
6,pcc,2.3499999999999988,optimized,10,50,0.6880258739983516,0.8294732509239533,0.5839036028539345,0.9947200178523236,0.0026999999999999,0.6907258739983516,1.0303563198737278,0.8150668138798562,0.5626526779532777,0.9994124104668324,1.0303563198737278,0.8150668138798562,0.5626526779532777,0.9994124104668324,0.002
