fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,lambda
9,ami,0.05,optimized,10,5,1.1273959486577456,1.0617890320858214,0.6721102863202545,0.5455969753949124,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.646200070696359,0.7206443251486441,0.005
9,ami,0.05,optimized,10,10,1.1273959486577456,1.0617890320858214,0.6418391994478951,0.7469278621558393,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.6185148714841187,0.8785901834505722,0.005
9,ami,0.05,optimized,10,15,1.1273959486577456,1.0617890320858214,0.6240476237560012,0.8386715739144199,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.6000646931717982,0.9438986117817634,0.005
9,ami,0.05,optimized,10,20,1.1273959486577456,1.0617890320858214,0.6105514133799791,0.8961559933782645,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.5902721120214611,0.9743973511901068,0.005
9,ami,0.05,optimized,10,25,1.1273959486577456,1.0617890320858214,0.5999129406289146,0.93151454043145,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.5843700548212803,0.9882598199850544,0.005
9,ami,0.05,optimized,10,30,1.1273959486577456,1.0617890320858214,0.5932697124648616,0.955323239059886,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.5807812405146543,0.9941597365855992,0.005
9,ami,0.05,optimized,10,35,1.1273959486577456,1.0617890320858214,0.5881685758299878,0.9710645162323116,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.5791536366287118,0.9974941104121924,0.005
9,ami,0.05,optimized,10,40,1.1273959486577456,1.0617890320858214,0.5838685909961526,0.981034596132928,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.578346574978596,0.9988843137325506,0.005
9,ami,0.05,optimized,10,45,1.1273959486577456,1.0617890320858214,0.5809624638388785,0.987564804441452,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.5779348504663855,0.999397718584264,0.005
9,ami,0.05,optimized,10,50,1.1273959486577456,1.0617890320858214,0.5788618647788045,0.9921734219105486,0.00475,1.1321459486577456,1.05548003504191,0.8360503195808192,0.5776625492518028,0.9998109173375772,0.005
9,ami,0.05,optimized,20,5,1.0758173829721944,1.0372161698374136,0.6954400848356309,0.5589021796114516,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.6525627430187345,0.7230252049761443,0.005
9,ami,0.05,optimized,20,10,1.0758173829721944,1.0372161698374136,0.6514892524701644,0.7536895648016371,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.6224385194162501,0.8831997631722384,0.005
9,ami,0.05,optimized,20,15,1.0758173829721944,1.0372161698374136,0.6289963688956266,0.8438837927782283,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.6021855839459234,0.9457020859869002,0.005
9,ami,0.05,optimized,20,20,1.0758173829721944,1.0372161698374136,0.6128313709621636,0.8985640514133038,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.5912795351391706,0.9755828951114166,0.005
9,ami,0.05,optimized,20,25,1.0758173829721944,1.0372161698374136,0.6016096532482147,0.9331193279234568,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.5847093973451405,0.9889247177863086,0.005
9,ami,0.05,optimized,20,30,1.0758173829721944,1.0372161698374136,0.5946836396476117,0.9570139862860716,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.5812054186694794,0.9955408881801612,0.005
9,ami,0.05,optimized,20,35,1.0758173829721944,1.0372161698374136,0.5893805134152023,0.9729524267618646,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.5791839350683422,0.9976474666042172,0.005
9,ami,0.05,optimized,20,40,1.0758173829721944,1.0372161698374136,0.5845578804977433,0.9820753356446944,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.5783995972479491,0.998974247579314,0.005
9,ami,0.05,optimized,20,45,1.0758173829721944,1.0372161698374136,0.5813866419937035,0.9882534644880708,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.5779584159194312,0.9994364197723904,0.005
9,ami,0.05,optimized,20,50,1.0758173829721944,1.0372161698374136,0.5790951627639583,0.9925929032906624,0.00475,1.0805673829721945,1.0326058274461871,0.8186622420000494,0.5776413403440614,0.9996862135091696,0.005
9,ami,0.05,optimized,30,5,1.0606590243688685,1.0298830148948317,0.7018027571580063,0.5612797740202404,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.6551078119476846,0.7250379246751791,0.005
9,ami,0.05,optimized,30,10,1.0606590243688685,1.0298830148948317,0.6528678314733458,0.7544948371474415,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.6232868757259001,0.8845595367752299,0.005
9,ami,0.05,optimized,30,15,1.0606590243688685,1.0298830148948317,0.6301982070009642,0.8447099498336323,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.6021855839459234,0.9463014751617848,0.005
9,ami,0.05,optimized,30,20,1.0606590243688685,1.0298830148948317,0.615058306274995,0.9006502356861716,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.5912795351391706,0.9751847130304276,0.005
9,ami,0.05,optimized,30,25,1.0606590243688685,1.0298830148948317,0.6034336193139624,0.9349317798412572,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.5849639042380355,0.9896036341758792,0.005
9,ami,0.05,optimized,30,30,1.0606590243688685,1.0298830148948317,0.5951431659820055,0.957828378153625,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.5813114632081856,0.9957308871704604,0.005
9,ami,0.05,optimized,30,35,1.0606590243688685,1.0298830148948317,0.5897743931303969,0.973431166699516,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.579426322585385,0.9980852033217243,0.005
9,ami,0.05,optimized,30,40,1.0606590243688685,1.0298830148948317,0.5851411254606276,0.9827411738781796,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.578346574978596,0.9989340696353246,0.005
9,ami,0.05,optimized,30,45,1.0606590243688685,1.0298830148948317,0.5819050819607118,0.9888736315452048,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.5779112850133395,0.9993033224170708,0.005
9,ami,0.05,optimized,30,50,1.0606590243688685,1.0298830148948317,0.579243625118147,0.9926925157076067,0.00475,1.0654090243688683,1.0284092985067663,0.8160483021805207,0.5776201314363203,0.9996201938353068,0.005
9,ami,0.05,optimized,40,5,1.0559220775967595,1.0275806915258574,0.7011664899257689,0.5607506818339658,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.6561682573347473,0.7256717900100796,0.005
9,ami,0.05,optimized,40,10,1.0559220775967595,1.0275806915258574,0.6540343213991145,0.7552320707954615,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.6236050093420189,0.8842837621826025,0.005
9,ami,0.05,optimized,40,15,1.0559220775967595,1.0275806915258574,0.6318949196202643,0.8465830763503019,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.6022562803050608,0.9462049895667208,0.005
9,ami,0.05,optimized,40,20,1.0559220775967595,1.0275806915258574,0.61548248442982,0.9011946948694202,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.5915446464859362,0.9759275360735182,0.005
9,ami,0.05,optimized,40,25,1.0559220775967595,1.0275806915258574,0.603476037129445,0.935220662575232,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.5847942329761054,0.9894687345461812,0.005
9,ami,0.05,optimized,40,30,1.0559220775967595,1.0275806915258574,0.5955319959572617,0.9581797493627412,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.5813114632081856,0.9957401657291218,0.005
9,ami,0.05,optimized,40,35,1.0559220775967595,1.0275806915258574,0.5900773775267005,0.9737731003835852,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.5793960241457546,0.998025739285652,0.005
9,ami,0.05,optimized,40,40,1.0559220775967595,1.0275806915258574,0.5852471699993338,0.9829549195720968,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.5783995972479492,0.9990296244264416,0.005
9,ami,0.05,optimized,40,45,1.0559220775967595,1.0275806915258574,0.5818579510546201,0.9887995989308138,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.5779112850133395,0.9993033224170708,0.005
9,ami,0.05,optimized,40,50,1.0559220775967595,1.0275806915258574,0.5792012073026647,0.9926707979856816,0.00475,1.0606720775967595,1.024608795294739,0.8133620351423071,0.5776625492518027,0.9997329774448224,0.005
9,ami,0.05,optimized,50,5,1.053515277994349,1.026408923380126,0.7051961823966065,0.5623745911494816,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.6582891481088724,0.7291319568540849,0.005
9,ami,0.05,optimized,50,10,1.053515277994349,1.026408923380126,0.6561552121732398,0.7562776878009233,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.6247714992677876,0.8851361255853927,0.005
9,ami,0.05,optimized,50,15,1.053515277994349,1.026408923380126,0.6330967577256018,0.8470707974234496,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.6021148875867858,0.9459897189017,0.005
9,ami,0.05,optimized,50,20,1.053515277994349,1.026408923380126,0.6151643508137012,0.9012357615577716,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.5913855796778767,0.975146396911048,0.005
9,ami,0.05,optimized,50,25,1.053515277994349,1.026408923380126,0.6040698865462,0.9361331228546096,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.584666979529658,0.9892154171495664,0.005
9,ami,0.05,optimized,50,30,1.053515277994349,1.026408923380126,0.5959208259325179,0.9587119975045216,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.5811347223103417,0.9954316078994464,0.005
9,ami,0.05,optimized,50,35,1.053515277994349,1.026408923380126,0.5899864822078095,0.9736658514042418,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.5793657257061243,0.9979275740614534,0.005
9,ami,0.05,optimized,50,40,1.053515277994349,1.026408923380126,0.584929036383215,0.9825028586312754,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.5783995972479492,0.9990296244264416,0.005
9,ami,0.05,optimized,50,45,1.053515277994349,1.026408923380126,0.5817636892424368,0.988696124749134,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.5779112850133395,0.9993033224170708,0.005
9,ami,0.05,optimized,50,50,1.053515277994349,1.026408923380126,0.5792012073026646,0.9926796108351988,0.00475,1.058265277994349,1.0231609964726058,0.8124628166766097,0.5776625492518027,0.9997329774448224,0.005
9,ami,0.05,optimized,60,5,1.0531072334009082,1.026210131211395,0.7028632025450688,0.5615700089783353,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.6563803464121598,0.7252653979441874,0.005
9,ami,0.05,optimized,60,10,1.0531072334009082,1.026210131211395,0.6568975239441835,0.7571681086412758,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.6250896328839064,0.8860655201820239,0.005
9,ami,0.05,optimized,60,15,1.0531072334009082,1.026210131211395,0.6328846686481894,0.8467801380569641,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.6025390657416108,0.9464096288333944,0.005
9,ami,0.05,optimized,60,20,1.0531072334009082,1.026210131211395,0.6158006180459388,0.90177678944796,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.59143860194723,0.9752180266025606,0.005
9,ami,0.05,optimized,60,25,1.0531072334009082,1.026210131211395,0.6041547221771649,0.9362356615264475,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.5848790686070704,0.9891368295430684,0.005
9,ami,0.05,optimized,60,30,1.0531072334009082,1.026210131211395,0.595779433214243,0.958470581763909,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.5812054186694794,0.9955374971467498,0.005
9,ami,0.05,optimized,60,35,1.0531072334009082,1.026210131211395,0.5897743931303969,0.9735075459150891,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.5793657257061242,0.9979870380975256,0.005
9,ami,0.05,optimized,60,40,1.0531072334009082,1.026210131211395,0.5851676365953042,0.9828792565809068,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.5784261083826258,0.9990683256145682,0.005
9,ami,0.05,optimized,60,45,1.0531072334009082,1.026210131211395,0.5817872546954826,0.9887261099910692,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.5779348504663855,0.9993693420909336,0.005
9,ami,0.05,optimized,60,50,1.0531072334009082,1.026210131211395,0.579158789487182,0.992614196515518,0.00475,1.0578572334009082,1.0220156249786232,0.8120118461464874,0.5776625492518027,0.9997329774448224,0.005
9,ami,0.05,optimized,70,5,1.05243308335748,1.0258816127397352,0.7039236479321315,0.5623255385648256,0.00475,1.05718308335748,1.020317816365355,0.810594098304793,0.6570166136443972,0.7256189911434368,0.005
9,ami,0.05,optimized,70,10,1.05243308335748,1.0258816127397352,0.6571096130215961,0.7569694053541994,0.00475,1.05718308335748,1.020317816365355,0.810594098304793,0.6246654547290814,0.8854183710787097,0.005
9,ami,0.05,optimized,70,15,1.05243308335748,1.0258816127397352,0.6330260613664643,0.8471259498721685,0.00475,1.05718308335748,1.020317816365355,0.810594098304793,0.6026097621007482,0.9464788582262952,0.005
