fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall
6,ami,0.05,optimized,20,5,1.0809163104316102,1.0396712511325925,0.6898727465535526,0.5553219588585976,0.0019,1.0828163104316102,1.0335284709952943,0.8194313167664377,0.6421173559561683,0.7158495867123259,1.0335284709952943,0.8194313167664377,0.6421173559561683,0.7158495867123259
6,ami,1.0,baseline,20,5,,,,,0.0,,1.048137881466813,0.8292505425520655,0.637875574407918,0.7136914582943514,1.048137881466813,0.8292505425520655,0.637875574407918,0.7136914582943514
6,ami,0.05,optimized,20,10,1.0809163104316102,1.0396712511325925,0.6542863875843727,0.7512210350488263,0.0019,1.0828163104316102,1.0335284709952943,0.8194313167664377,0.6065789695164032,0.8759525604141507,1.0335284709952943,0.8194313167664377,0.6065789695164032,0.8759525604141507
6,ami,1.0,baseline,20,10,,,,,0.0,,1.048137881466813,0.8292505425520655,0.6029734552003906,0.871892136303382,1.048137881466813,0.8292505425520655,0.6029734552003906,0.871892136303382
6,ami,0.05,optimized,20,15,1.0809163104316102,1.0396712511325925,0.6337968912200089,0.8434916516713468,0.0019,1.0828163104316102,1.0335284709952943,0.8194313167664377,0.5870557744364743,0.943601248477179,1.0335284709952943,0.8194313167664377,0.5870557744364743,0.943601248477179
6,ami,1.0,baseline,20,15,,,,,0.0,,1.048137881466813,0.8292505425520655,0.5864195072042367,0.942551016116905,1.048137881466813,0.8292505425520655,0.5864195072042367,0.942551016116905
6,ami,0.05,optimized,20,20,1.0809163104316102,1.0396712511325925,0.6192718627754857,0.9022579466729168,0.0019,1.0828163104316102,1.0335284709952943,0.8194313167664377,0.5752245171247089,0.972291296674712,1.0335284709952943,0.8194313167664377,0.5752245171247089,0.972291296674712
6,ami,1.0,baseline,20,20,,,,,0.0,,1.048137881466813,0.8292505425520655,0.574853361239237,0.9721380712370626,1.048137881466813,0.8292505425520655,0.574853361239237,0.9721380712370626
6,ami,0.05,optimized,20,25,1.0809163104316102,1.0396712511325925,0.6076153444893394,0.9361247264918532,0.0019,1.0828163104316102,1.0335284709952943,0.8194313167664377,0.5696886249504286,0.9880606734328288,1.0335284709952943,0.8194313167664377,0.5696886249504286,0.9880606734328288
6,ami,1.0,baseline,20,25,,,,,0.0,,1.048137881466813,0.8292505425520655,0.5696462071349461,0.9880779021583656,1.048137881466813,0.8292505425520655,0.5696462071349461,0.9880779021583656
6,ami,0.05,optimized,20,30,1.0809163104316102,1.0396712511325925,0.5988920522446372,0.9578965404096133,0.0019,1.0828163104316102,1.0335284709952943,0.8194313167664377,0.5660437402246209,0.9943500817359936,1.0335284709952943,0.8194313167664377,0.5660437402246209,0.9943500817359936
6,ami,1.0,baseline,20,30,,,,,0.0,,1.048137881466813,0.8292505425520655,0.5658669993267772,0.9941588647412304,1.048137881466813,0.8292505425520655,0.5658669993267772,0.9941588647412304
6,ami,0.05,optimized,20,35,1.0809163104316102,1.0396712511325925,0.5924940721397415,0.9720250396097554,0.0019,1.0828163104316102,1.0335284709952943,0.8194313167664377,0.564139775230582,0.9969443922003224,1.0335284709952943,0.8194313167664377,0.564139775230582,0.9969443922003224
6,ami,1.0,baseline,20,35,,,,,0.0,,1.048137881466813,0.8292505425520655,0.5642003721098426,0.9970136509293928,1.048137881466813,0.8292505425520655,0.5642003721098426,0.9970136509293928
