fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
3,acos,0.3,optimized,30,40,1.0151618643323692,0.8145957947744651,0.5727457958535895,0.998372787297982,0.015
3,acos,0.3,optimized,30,45,1.0151618643323692,0.8145957947744651,0.5723940334987341,0.9989741094093152,0.015
3,acos,0.3,optimized,30,50,1.0151618643323692,0.8145957947744651,0.5721229959981989,0.9991871310002567,0.015
3,acos,0.35,optimized,40,5,1.0136640428852723,0.8126032607477038,0.6663662071403323,0.7241196716868309,0.015
3,acos,0.35,optimized,40,10,1.0136640428852723,0.8126032607477038,0.6214369876618021,0.8785574453282223,0.015
3,acos,0.35,optimized,40,15,1.0136640428852723,0.8126032607477038,0.5996552875662101,0.9451889341721993,0.015
3,acos,0.35,optimized,40,20,1.0136640428852723,0.8126032607477038,0.5866214580086387,0.9730401284693714,0.015
3,acos,0.35,optimized,40,25,1.0136640428852723,0.8126032607477038,0.579529639166163,0.9873500967942445,0.015
3,acos,0.35,optimized,40,30,1.0136640428852723,0.8126032607477038,0.5753229721372485,0.993444951095591,0.015
3,acos,0.35,optimized,40,35,1.0136640428852723,0.8126032607477038,0.5735384600720503,0.9965736779258256,0.015
3,acos,0.35,optimized,40,40,1.0136640428852723,0.8126032607477038,0.5726927735842363,0.9982774432649294,0.015
3,acos,0.35,optimized,40,45,1.0136640428852723,0.8126032607477038,0.5723469025926424,0.9988576457222174,0.015
3,acos,0.35,optimized,40,50,1.0136640428852723,0.8126032607477038,0.5721229959981989,0.9991871310002567,0.015
3,acos,0.4,optimized,50,5,1.013941890737364,0.8123293443679521,0.6693354542241076,0.7253663802771565,0.015
3,acos,0.4,optimized,50,10,1.013941890737364,0.8123293443679521,0.6206946758908582,0.8769475401080489,0.015
3,acos,0.4,optimized,50,15,1.013941890737364,0.8123293443679521,0.5994431984887976,0.9450311642416853,0.015
3,acos,0.4,optimized,50,20,1.013941890737364,0.8123293443679521,0.5861972798538138,0.9725371896167132,0.015
3,acos,0.4,optimized,50,25,1.013941890737364,0.8123293443679521,0.5791902966423028,0.9865809218240356,0.015
3,acos,0.4,optimized,50,30,1.013941890737364,0.8123293443679521,0.5753583203168172,0.9935469469766613,0.015
3,acos,0.4,optimized,50,35,1.013941890737364,0.8123293443679521,0.5735990569513111,0.9967343723481997,0.015
3,acos,0.4,optimized,50,40,1.013941890737364,0.8123293443679521,0.572719284718913,0.9983083417941594,0.015
3,acos,0.4,optimized,50,45,1.013941890737364,0.8123293443679521,0.5723704680456884,0.9989432108800851,0.015
3,acos,0.4,optimized,50,50,1.013941890737364,0.8123293443679521,0.5721017870904577,0.9991443484213229,0.015
3,acos,0.4,optimized,60,5,1.0139858059672384,0.8118086673919276,0.6655178508306823,0.7222475616339216,0.015
3,acos,0.4,optimized,60,10,1.0139858059672384,0.8118086673919276,0.6215430322005083,0.8783504361031161,0.015
3,acos,0.4,optimized,60,15,1.0139858059672384,0.8118086673919276,0.5990897166931102,0.944523668646795,0.015
3,acos,0.4,optimized,60,20,1.0139858059672384,0.8118086673919276,0.5865154134699325,0.973055742424622,0.015
3,acos,0.4,optimized,60,25,1.0139858059672384,0.8118086673919276,0.5794448035351979,0.9872122194477039,0.015
3,acos,0.4,optimized,60,30,1.0139858059672384,0.8118086673919276,0.5753229721372484,0.9935966289196825,0.015
3,acos,0.4,optimized,60,35,1.0139858059672384,0.8118086673919276,0.5735687585116808,0.9967357169435376,0.015
3,acos,0.4,optimized,60,40,1.0139858059672384,0.8118086673919276,0.572719284718913,0.9983171699453679,0.015
3,acos,0.4,optimized,60,45,1.0139858059672384,0.8118086673919276,0.5723704680456883,0.9989313268303813,0.015
3,acos,0.4,optimized,60,50,1.0139858059672384,0.8118086673919276,0.5721017870904577,0.9991443484213229,0.015
3,acos,0.45,optimized,70,5,1.014925159361274,0.8125729719531628,0.6684870979144574,0.7239495884203333,0.015
3,acos,0.45,optimized,70,10,1.014925159361274,0.8125729719531628,0.6216490767392147,0.8784418032919118,0.015
3,acos,0.45,optimized,70,15,1.014925159361274,0.8125729719531628,0.599231109411385,0.94467585911801,0.015
3,acos,0.45,optimized,70,20,1.014925159361274,0.8125729719531628,0.5862503021231668,0.9727849912160642,0.015
3,acos,0.45,optimized,70,25,1.014925159361274,0.8125729719531628,0.5795720569816454,0.9875148583487855,0.015
3,acos,0.45,optimized,70,30,1.014925159361274,0.8125729719531628,0.5752169275985421,0.9934207448822533,0.015
3,acos,0.45,optimized,70,35,1.014925159361274,0.8125729719531628,0.57350816163242,0.9965781344444645,0.015
3,acos,0.45,optimized,70,40,1.014925159361274,0.8125729719531628,0.572719284718913,0.9983171699453679,0.015
3,acos,0.45,optimized,70,45,1.014925159361274,0.8125729719531628,0.5723233371395967,0.9988148631432836,0.015
3,acos,0.45,optimized,70,50,1.014925159361274,0.8125729719531628,0.5721017870904577,0.9991443484213229,0.015
3,acos,0.45,optimized,80,5,1.0153737546315844,0.8125928926639456,0.6682750088370449,0.723727226141951,0.015
3,acos,0.45,optimized,80,10,1.0153737546315844,0.8125928926639456,0.6213309431230959,0.8782986991866047,0.015
3,acos,0.45,optimized,80,15,1.0153737546315844,0.8125928926639456,0.5990190203339726,0.9444453653196717,0.015
3,acos,0.45,optimized,80,20,1.0153737546315844,0.8125928926639456,0.5864093689312262,0.9730200563210828,0.015
3,acos,0.45,optimized,80,25,1.0153737546315844,0.8125928926639456,0.579529639166163,0.9870074402940927,0.015
