fold,method,alpha,type,K,TopN,RMSE,MAD,lambda
3,acos,0.05,optimized,10,5,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,10,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,15,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,20,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,25,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,30,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,35,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,40,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,45,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.05,optimized,10,50,1.0466516942834982,0.8397856167668549,0.01
3,acos,0.1,optimized,20,5,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,10,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,15,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,20,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,25,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,30,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,35,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,40,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,45,1.019099496398091,0.8168804870771353,0.01
3,acos,0.1,optimized,20,50,1.019099496398091,0.8168804870771353,0.01
3,acos,0.25,optimized,30,5,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,10,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,15,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,20,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,25,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,30,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,35,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,40,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,45,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.25,optimized,30,50,1.0142758333081505,0.8138279371382883,0.01
3,acos,0.3,optimized,40,5,1.0127949973919135,0.8118652327006073,0.01
3,acos,0.3,optimized,40,10,1.0127949973919135,0.8118652327006073,0.01
3,acos,0.3,optimized,40,15,1.0127949973919135,0.8118652327006073,0.01
3,acos,0.3,optimized,40,20,1.0127949973919135,0.8118652327006073,0.01
3,acos,0.3,optimized,40,25,1.0127949973919135,0.8118652327006073,0.01
3,acos,0.3,optimized,40,30,1.0127949973919135,0.8118652327006073,0.01
3,acos,0.3,optimized,40,35,1.0127949973919135,0.8118652327006073,0.01
