lambda,avg_selected_alpha,median_selected_alpha,std_selected_alpha,extreme_alpha_pct,near_baseline_pct,avg_validation_mse,avg_test_rmse,avg_test_precision,avg_test_recall,n_configs,alpha_match_rate
0.0,3.8639411764705884,3.0,3.1107668780459865,72.58823529411764,1.0588235294117647,0.8510773182740948,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.009411764705882352
0.001,3.7053529411764705,3.0,3.067732299514874,68.11764705882352,3.7647058823529407,0.8511601630553988,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.042352941176470586
0.002,3.5337058823529413,2.5,2.988131369538839,64.3529411764706,7.294117647058823,0.8514417175818549,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.07529411764705882
0.003,3.3397058823529413,2.5,2.8913681734883294,60.588235294117645,10.941176470588236,0.8519356007036277,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.1188235294117647
0.004,3.1497058823529414,2.3499999999999988,2.776569690737823,57.41176470588235,13.529411764705882,0.8526150708132729,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.15176470588235294
0.005,2.9672941176470586,2.000000000000001,2.6326644675042306,54.70588235294118,16.470588235294116,0.8534530541283836,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.2
0.006,2.7839411764705884,2.0,2.4615440436409735,51.52941176470588,19.176470588235293,0.8544864180730085,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.27294117647058824
0.007,2.6146470588235293,1.8250000000000006,2.279996125474227,48.23529411764706,22.58823529411765,0.8556121695511679,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.35764705882352943
0.008,2.457764705882353,1.4500000000000008,2.1033422025247086,45.76470588235294,25.176470588235293,0.8568117986759982,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.4811764705882353
0.009000000000000001,2.3448823529411764,1.3000000000000005,2.009797814519665,44.0,28.352941176470587,0.8578050932568652,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.6082352941176471
0.01,2.2661764705882352,1.1750000000000007,1.9420478059474384,42.470588235294116,30.823529411764707,0.8585847931252543,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.8588235294117647
0.015,2.026529411764706,1.0000000000000004,1.663937969262804,40.705882352941174,39.64705882352941,0.8617706448997158,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.34705882352941175
0.019999999999999997,1.8486470588235293,1.0000000000000004,1.441487684463966,37.411764705882355,42.35294117647059,0.8652514246404784,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.31882352941176473
0.024999999999999998,1.6997647058823528,1.0000000000000004,1.2519451639985921,34.11764705882353,47.05882352941176,0.8690405362951974,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3235294117647059
0.03,1.5696470588235294,1.0,1.1011000575634637,29.52941176470588,51.64705882352941,0.8730681720112118,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.32941176470588235
0.034999999999999996,1.4508235294117646,1.0,0.936763625240942,24.0,56.705882352941174,0.8774097808000625,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3376470588235294
0.039999999999999994,1.3378235294117646,1.0,0.7956608656447157,15.411764705882353,62.117647058823536,0.8820953124472627,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.34705882352941175
0.045,1.247,1.0,0.6641703911699792,10.705882352941176,68.58823529411765,0.8863791008861596,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3658823529411765
0.05,1.1398823529411766,1.0,0.478276148441353,6.0,76.11764705882354,0.8918715492195507,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.4376470588235294
0.060000000000000005,1.0423529411764705,1.0,0.27721934227997463,2.588235294117647,86.70588235294117,0.8977342190492703,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.07,0.9994705882352941,1.0,0.11542042816554297,0.1176470588235294,92.82352941176471,0.9011245810178782,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.08000000000000002,0.9924705882352941,1.0,0.06792966265893133,0.0,96.47058823529412,0.9022145265731577,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.09000000000000001,0.9927058823529412,1.0,0.04690411332988087,0.0,98.23529411764706,0.9027269794328138,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.1,0.9949411764705882,1.0,0.0398291305570008,0.0,98.58823529411764,0.9029387384016607,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.11000000000000001,0.9964117647058823,1.0,0.03389726320374225,0.0,99.05882352941177,0.903092320398629,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.12000000000000002,0.9972352941176471,1.0,0.02892356251801195,0.0,99.1764705882353,0.9031868949678077,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.13,0.9978823529411764,1.0,0.024404623329055096,0.0,99.41176470588235,0.9032677719550566,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.14,0.9983529411764706,1.0,0.020226221410084944,0.0,99.41176470588235,0.9033313319814019,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.15,0.9987058823529412,1.0,0.01710196818118768,0.0,99.41176470588235,0.9033825310944579,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.2,0.9999411764705882,1.0,0.0017140775703914347,0.0,100.0,0.9035980979467056,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.25,1.0,1.0,1.327984795395597e-16,0.0,100.0,0.9036104715257408,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
0.30000000000000004,1.0,1.0,1.2281261672935263e-16,0.0,100.0,0.9036104715257408,1.0171816482180533,0.5965054515754012,0.9486805854945648,8500,0.3764705882352941
