fold,method,alpha,type,K,TopN,RMSE,MAD,lambda
2,acos,0.05,optimized,10,5,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,10,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,15,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,20,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,25,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,30,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,35,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,40,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,45,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.05,optimized,10,50,1.0422845103003406,0.8315447509879709,0.004
2,acos,0.1,optimized,20,5,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,10,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,15,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,20,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,25,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,30,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,35,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,40,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,45,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.1,optimized,20,50,1.0139107159652456,0.8093700712522572,0.004
2,acos,0.2,optimized,30,5,1.0063398914302182,0.8026200327023657,0.004
2,acos,0.2,optimized,30,10,1.0063398914302182,0.8026200327023657,0.004
2,acos,0.2,optimized,30,15,1.0063398914302182,0.8026200327023657,0.004
2,acos,0.2,optimized,30,20,1.0063398914302182,0.8026200327023657,0.004
2,acos,0.2,optimized,30,25,1.0063398914302182,0.8026200327023657,0.004
2,acos,0.2,optimized,30,30,1.0063398914302182,0.8026200327023657,0.004
2,acos,0.2,optimized,30,35,1.0063398914302182,0.8026200327023657,0.004
