fold,method,alpha,type,K,TopN,RMSE,MAD,lambda
5,acos,0.05,optimized,10,5,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,10,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,15,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,20,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,25,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,30,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,35,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,40,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,45,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,10,50,1.0309771136644243,0.8254864594881073,0.005
5,acos,0.05,optimized,20,5,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,10,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,15,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,20,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,25,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,30,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,35,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,40,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,45,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.05,optimized,20,50,1.0020961418802248,0.7988195926232989,0.005
5,acos,0.15,optimized,30,5,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,10,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,15,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,20,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,25,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,30,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,35,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,40,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,45,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.15,optimized,30,50,0.9977157037307746,0.7950459471852837,0.005
5,acos,0.2,optimized,40,5,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,10,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,15,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,20,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,25,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,30,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,35,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,40,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,45,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.2,optimized,40,50,0.9953185887594048,0.7920968439568071,0.005
5,acos,0.25,optimized,50,5,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,10,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,15,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,20,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,25,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,30,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,35,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,40,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,45,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.25,optimized,50,50,0.9959985254172411,0.7925289054924082,0.005
5,acos,0.3,optimized,60,5,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,10,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,15,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,20,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,25,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,30,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,35,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,40,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,45,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.3,optimized,60,50,0.9968170074157812,0.7925968309888473,0.005
5,acos,0.35,optimized,70,5,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,10,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,15,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,20,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,25,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,30,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,35,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,40,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,45,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,70,50,0.9975911851821344,0.793173854158372,0.005
5,acos,0.35,optimized,80,5,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,10,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,15,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,20,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,25,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,30,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,35,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,40,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,45,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.35,optimized,80,50,0.9979924464650339,0.7934849367224399,0.005
5,acos,0.5,optimized,90,5,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,10,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,15,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,20,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,25,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,30,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,35,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,40,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,45,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,90,50,1.0001866075762629,0.7955807122300538,0.005
5,acos,0.5,optimized,100,5,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,10,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,15,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,20,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,25,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,30,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,35,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,40,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,45,1.000566710600315,0.795844666840055,0.005
5,acos,0.5,optimized,100,50,1.000566710600315,0.795844666840055,0.005
5,ami,0.5,optimized,10,5,1.0511915542038244,0.834693969593151,0.005
5,ami,0.5,optimized,10,10,1.0511915542038244,0.834693969593151,0.005
5,ami,0.5,optimized,10,15,1.0511915542038244,0.834693969593151,0.005
5,ami,0.5,optimized,10,20,1.0511915542038244,0.834693969593151,0.005
5,ami,0.5,optimized,10,25,1.0511915542038244,0.834693969593151,0.005
