fold,method,K,TopN,phase,alpha,mse,rmse,regularization_penalty,regularized_score,precision,recall
5,msd,10,5,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.6795864262990456,0.5470072222598212
5,msd,10,10,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.6452225252066186,0.7484604369851031
5,msd,10,15,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.6244533862508412,0.8380938041476239
5,msd,10,20,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.6099070768524935,0.8936549130653575
5,msd,10,25,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.5993204996600331,0.9293643439547531
5,msd,10,30,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.5936224653870179,0.9543101203741949
5,msd,10,35,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.5884640933755251,0.9696191923405774
5,msd,10,40,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.5846867457124825,0.9798234359051206
5,msd,10,45,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.5821529310271997,0.986930893817017
5,msd,10,50,coarse,0.0,1.1500585190984751,1.0724078137996176,0.0,1.1500585190984751,0.579898629437231,0.991506214369706
5,msd,10,5,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.7037645811240721,0.5613916701232575
5,msd,10,10,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.6552967563837129,0.7563815831218679
5,msd,10,15,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.6318058076011416,0.8443302064694113
5,msd,10,20,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.6160046378281032,0.9001099632407843
5,msd,10,25,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.6049196513037234,0.9361007467330252
5,msd,10,30,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.5968038015482058,0.9583482057007415
5,msd,10,35,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.5905849841496502,0.9724407394659135
5,msd,10,40,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.5861978803890466,0.9823991520902224
5,msd,10,45,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.5829305909777123,0.9886505503718547
5,msd,10,50,coarse,0.5,0.9970802342719707,0.9985390499484588,0.0,0.9970802342719707,0.5804288521307622,0.99251074343885
5,msd,10,5,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.7037645811240721,0.5613916701232575
5,msd,10,10,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.6554028009224192,0.7564385437051442
5,msd,10,15,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.6318058076011416,0.8443302064694113
5,msd,10,20,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.6160576600974563,0.900173625069152
5,msd,10,25,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.604877233488241,0.9360536923381447
5,msd,10,30,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.5968391497277745,0.9584834870860229
5,msd,10,35,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.59055468571002,0.9724079439785726
5,msd,10,40,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.5862509026583997,0.9824742730476963
5,msd,10,45,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.5829305909777123,0.9886505503718547
5,msd,10,50,coarse,1.0,0.9963349719652275,0.998165803844846,0.0,0.9963349719652275,0.5804712699462448,0.9925826577264506
5,msd,10,5,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.7037645811240721,0.5613916701232575
5,msd,10,10,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.6554028009224192,0.7564385437051442
5,msd,10,15,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.6318058076011416,0.8443302064694113
5,msd,10,20,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.6161106823668095,0.9003472990044359
5,msd,10,25,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.604877233488241,0.9360536923381447
5,msd,10,30,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.596768453368637,0.9582580181105539
5,msd,10,35,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.5906152825892806,0.9725937152567807
5,msd,10,40,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.5862509026583997,0.9824742730476963
5,msd,10,45,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.5829305909777123,0.9886505503718547
5,msd,10,50,coarse,1.5,0.9956884862885683,0.9978419144777234,0.0,0.9956884862885683,0.5804712699462448,0.9925826577264506
5,msd,10,5,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.7039766702014847,0.5615119202435076
5,msd,10,10,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.6555088454611254,0.7565738250904256
5,msd,10,15,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.6317351112420041,0.8442318200073884
5,msd,10,20,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.6161106823668095,0.9003472990044359
5,msd,10,25,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.604877233488241,0.9360536923381447
5,msd,10,30,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.5966977570094995,0.9581609741538609
5,msd,10,35,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.5906455810289111,0.9726388090518745
5,msd,10,40,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.5862509026583997,0.9824742730476963
5,msd,10,45,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.582954156430758,0.9886937272878539
5,msd,10,50,coarse,2.0,0.9951320563845725,0.9975630588512049,0.0,0.9951320563845725,0.5804712699462448,0.9925826577264506
5,msd,10,5,coarse,2.5,0.9946574141131523,0.997325129590723,0.0,0.9946574141131523,0.7037645811240721,0.5614603844776862
5,msd,10,10,coarse,2.5,0.9946574141131523,0.997325129590723,0.0,0.9946574141131523,0.6556148899998318,0.7566339501505506
5,msd,10,15,coarse,2.5,0.9946574141131523,0.997325129590723,0.0,0.9946574141131523,0.6318058076011416,0.844299460700029
5,msd,10,20,coarse,2.5,0.9946574141131523,0.997325129590723,0.0,0.9946574141131523,0.6160576600974564,0.9003072156310191
5,msd,10,25,coarse,2.5,0.9946574141131523,0.997325129590723,0.0,0.9946574141131523,0.604877233488241,0.9360536923381447
