fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall
5,ami,0.05,optimized,10,35,1.138200334523002,1.0668647217538885,0.5889185699699807,0.9700594469521558,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.577657467950312,0.9978158998993804,1.050246726342719,0.8337690293879488,0.577657467950312,0.9978158998993804
5,ami,1.0,baseline,10,35,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5775968710710512,0.9977545882489246,1.0705535454411088,0.847931417479179,0.5775968710710512,0.9977545882489246
5,ami,0.05,optimized,10,40,1.138200334523002,1.0668647217538885,0.5852434795406902,0.9808336090056012,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.5765638276648427,0.9992497962491352,1.050246726342719,0.8337690293879488,0.5765638276648427,0.9992497962491352
5,ami,1.0,baseline,10,40,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5765108053954895,0.9991520324245045,1.0705535454411088,0.847931417479179,0.5765108053954895,0.9991520324245045
5,ami,0.05,optimized,10,45,1.138200334523002,1.0668647217538885,0.5822943237454749,0.9875408900650522,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.576120564628144,0.9996744454047825,1.050246726342719,0.8337690293879488,0.576120564628144,0.9996744454047825
5,ami,1.0,baseline,10,45,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5760734337220523,0.999541918755402,1.0705535454411088,0.847931417479179,0.5760734337220523,0.999541918755402
5,ami,0.05,optimized,10,50,1.138200334523002,1.0668647217538885,0.5800470917914199,0.9919742849066115,0.0019,1.140100334523002,1.050246726342719,0.8337690293879488,0.5758070419055167,0.9998473062518004,1.050246726342719,0.8337690293879488,0.5758070419055167,0.9998473062518004
5,ami,1.0,baseline,10,50,,,,,0.0,,1.0705535454411088,0.847931417479179,0.5757858329977754,0.99980985306828,1.0705535454411088,0.847931417479179,0.5757858329977754,0.99980985306828
5,ami,0.05,optimized,20,5,1.0907120628825426,1.0443716114882398,0.6910392364793213,0.5545562526823713,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.6564156945917285,0.716153262732516,1.0235581337686752,0.8128140633984751,0.6564156945917285,0.716153262732516
5,ami,1.0,baseline,20,5,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.6492046659597032,0.7116342877535365,1.0437062399579038,0.8268569087004495,0.6492046659597032,0.7116342877535365
5,ami,0.05,optimized,20,10,1.0907120628825426,1.0443716114882398,0.6527516874547628,0.7540823883992201,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.6194234038613678,0.8746705578370213,1.0235581337686752,0.8128140633984751,0.6194234038613678,0.8746705578370213
5,ami,1.0,baseline,20,10,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.6165602013162989,0.8722438327117708,1.0437062399579038,0.8268569087004495,0.6165602013162989,0.8722438327117708
5,ami,0.05,optimized,20,15,1.0907120628825426,1.0443716114882398,0.6290486495947789,0.8405518285122587,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5998097195605149,0.9428831505339792,1.0235581337686752,0.8128140633984751,0.5998097195605149,0.9428831505339792
5,ami,1.0,baseline,20,15,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.5985371850960398,0.9414343503888026,1.0437062399579038,0.8268569087004495,0.5985371850960398,0.9414343503888026
5,ami,0.05,optimized,20,20,1.0907120628825426,1.0443716114882398,0.6147321033636279,0.8986485548349074,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5899597112980147,0.9748077466666024,1.0235581337686752,0.8128140633984751,0.5899597112980147,0.9748077466666024
5,ami,1.0,baseline,20,20,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.5884750877561271,0.9726809555368428,1.0437062399579038,0.8268569087004495,0.5884750877561271,0.9726809555368428
5,ami,0.05,optimized,20,25,1.0907120628825426,1.0443716114882398,0.6034350277618359,0.933627872559436,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5827013089199665,0.9879407460299916,1.0235581337686752,0.8128140633984751,0.5827013089199665,0.9879407460299916
5,ami,1.0,baseline,20,25,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.5824892198425539,0.9874038643594524,1.0437062399579038,0.8268569087004495,0.5824892198425539,0.9874038643594524
5,ami,0.05,optimized,20,30,1.0907120628825426,1.0443716114882398,0.5956019634428681,0.9558978728395764,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5794928867752808,0.9947683399822966,1.0235581337686752,0.8128140633984751,0.5794928867752808,0.9947683399822966
5,ami,1.0,baseline,20,30,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.5792101013387307,0.9944478503387733,1.0437062399579038,0.8268569087004495,0.5792101013387307,0.9944478503387733
5,ami,0.05,optimized,20,35,1.0907120628825426,1.0443716114882398,0.5903425966326076,0.9718684906898792,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5776574679503118,0.9977223103260408,1.0235581337686752,0.8128140633984751,0.5776574679503118,0.9977223103260408
5,ami,1.0,baseline,20,35,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.577748363269203,0.9980725358884188,1.0437062399579038,0.8268569087004495,0.577748363269203,0.9980725358884188
5,ami,0.05,optimized,20,40,1.0907120628825426,1.0443716114882398,0.58617136925437,0.9821976312259688,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5766433610688724,0.9994247523791476,1.0235581337686752,0.8128140633984751,0.5766433610688724,0.9994247523791476
5,ami,1.0,baseline,20,40,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.576537316530166,0.9992082121997852,1.0437062399579038,0.8268569087004495,0.576537316530166,0.9992082121997852
5,ami,0.05,optimized,20,45,1.0907120628825426,1.0443716114882398,0.5829070255246663,0.9884005086093453,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5760969991750983,0.9996283491789107,1.0235581337686752,0.8128140633984751,0.5760969991750983,0.9996283491789107
5,ami,1.0,baseline,20,45,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.5760969991750983,0.9996283491789107,1.0437062399579038,0.8268569087004495,0.5760969991750983,0.9996283491789107
5,ami,0.05,optimized,20,50,1.0907120628825426,1.0443716114882398,0.580577314484951,0.9927180355491062,0.0019,1.0926120628825426,1.0235581337686752,0.8128140633984751,0.5757858329977753,0.9997608758282914,1.0235581337686752,0.8128140633984751,0.5757858329977753,0.9997608758282914
5,ami,1.0,baseline,20,50,,,,,0.0,,1.0437062399579038,0.8268569087004495,0.575764624090034,0.9997234226447708,1.0437062399579038,0.8268569087004495,0.575764624090034,0.9997234226447708
5,ami,0.05,optimized,30,5,1.07867670976387,1.038593621087608,0.6940084835630964,0.554020766952726,0.0019,1.08057670976387,1.015804513162551,0.8067661952270937,0.6593849416755037,0.7165429823672873,1.015804513162551,0.8067661952270937,0.6593849416755037,0.7165429823672873
5,ami,1.0,baseline,30,5,,,,,0.0,,1.0354611670250855,0.8200402224304584,0.6513255567338281,0.7119648700249734,1.0354611670250855,0.8200402224304584,0.6513255567338281,0.7119648700249734
5,ami,0.05,optimized,30,10,1.07867670976387,1.038593621087608,0.6539181773805315,0.7551913020172808,0.0019,1.08057670976387,1.015804513162551,0.8067661952270937,0.6213322055580804,0.8768387894555,1.015804513162551,0.8067661952270937,0.6213322055580804,0.8768387894555
5,ami,1.0,baseline,30,10,,,,,0.0,,1.0354611670250855,0.8200402224304584,0.6183629584743052,0.8738369860649773,1.0354611670250855,0.8200402224304584,0.6183629584743052,0.8738369860649773
5,ami,0.05,optimized,30,15,1.07867670976387,1.038593621087608,0.6312402367280415,0.8431179523220248,0.0019,1.08057670976387,1.015804513162551,0.8067661952270937,0.6002338977153397,0.9443180240388686,1.015804513162551,0.8067661952270937,0.6002338977153397,0.9443180240388686
5,ami,1.0,baseline,30,15,,,,,0.0,,1.0354611670250855,0.8200402224304584,0.5990320596100024,0.9420291761977984,1.0354611670250855,0.8200402224304584,0.5990320596100024,0.9420291761977984
5,ami,0.05,optimized,30,20,1.07867670976387,1.038593621087608,0.6161106823668095,0.8997878170698728,0.0019,1.08057670976387,1.015804513162551,0.8067661952270937,0.590118778106074,0.975158383995434,1.015804513162551,0.8067661952270937,0.590118778106074,0.975158383995434
5,ami,1.0,baseline,30,20,,,,,0.0,,1.0354611670250855,0.8200402224304584,0.5886341545641866,0.9728030378681124,1.0354611670250855,0.8200402224304584,0.5886341545641866,0.9728030378681124
5,ami,0.05,optimized,30,25,1.07867670976387,1.038593621087608,0.6044106375179334,0.934569577191078,0.0019,1.08057670976387,1.015804513162551,0.8067661952270937,0.582913397997379,0.988279369262682,1.015804513162551,0.8067661952270937,0.582913397997379,0.988279369262682
5,ami,1.0,baseline,30,25,,,,,0.0,,1.0354611670250855,0.8200402224304584,0.5825740554735189,0.9876183924115688,1.0354611670250855,0.8200402224304584,0.5825740554735189,0.9876183924115688
5,ami,0.05,optimized,30,30,1.07867670976387,1.038593621087608,0.5959200970589871,0.9562706527523708,0.0019,1.08057670976387,1.015804513162551,0.8067661952270937,0.5796696276731245,0.9952342217789694,1.015804513162551,0.8067661952270937,0.5796696276731245,0.9952342217789694
5,ami,1.0,baseline,30,30,,,,,0.0,,1.0354611670250855,0.8200402224304584,0.5792807976978681,0.99458897809093,1.0354611670250855,0.8200402224304584,0.5792807976978681,0.99458897809093
5,ami,0.05,optimized,30,35,1.07867670976387,1.038593621087608,0.5912818482611486,0.973194490291082,0.0019,1.08057670976387,1.015804513162551,0.8067661952270937,0.5776877663899421,0.9978884947970004,1.015804513162551,0.8067661952270937,0.5776877663899421,0.9978884947970004
