fold,method,K,TopN,phase,alpha,mse,rmse,regularization_penalty,regularized_score,precision,recall
4,msd,10,5,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.6679215270413574,0.5465594282821693
4,msd,10,10,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.6416165900789443,0.7443423479016905
4,msd,10,15,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.6232531754801108,0.836261628701331
4,msd,10,20,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.6105019444040634,0.893032980601061
4,msd,10,25,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.6009044895129112,0.9285379326558012
4,msd,10,30,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.595139296824107,0.9527824739577432
4,msd,10,35,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.5904869522874332,0.9690161539002039
4,msd,10,40,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.5872459534682125,0.980047387670877
4,msd,10,45,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.584674231014748,0.987061120445351
4,msd,10,50,coarse,0.0,1.1447704521169337,1.0699394618934912,0.0,1.1447704521169337,0.5825950961744727,0.9916307402034977
4,msd,10,5,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.6993107104984094,0.5591068432198331
4,msd,10,10,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.6573111818074703,0.755688737783823
4,msd,10,15,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.6335041475550489,0.8437233208881891
4,msd,10,20,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.6177129730360889,0.8995804087038306
4,msd,10,25,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.6067581480494966,0.9346764301907601
4,msd,10,30,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.5989922483971011,0.9573833036487251
4,msd,10,35,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.5933047071730565,0.9724603984392679
4,msd,10,40,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.5890221994915423,0.9824313990165459
4,msd,10,45,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.5859232000261773,0.9890697968947796
4,msd,10,50,coarse,0.5,0.9863216708793511,0.9931372870249868,0.0,0.9863216708793511,0.5833374079454166,0.9930988005319613
4,msd,10,5,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.6995227995758219,0.5594664261036878
4,msd,10,10,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.6574172263461765,0.7557377718134396
4,msd,10,15,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.6335041475550489,0.8438241625325713
4,msd,10,20,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.617765995305442,0.8996235586498933
4,msd,10,25,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.606800565864979,0.9347179205235125
4,msd,10,30,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.5989922483971011,0.9573833036487251
4,msd,10,35,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.5933350056126868,0.9725053462997497
4,msd,10,40,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.5890487106262189,0.9824685972459101
4,msd,10,45,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.5859232000261773,0.9890697968947796
4,msd,10,50,coarse,1.0,0.985225228403607,0.9925851240088213,0.0,0.985225228403607,0.5833374079454166,0.9930988005319613
4,msd,10,5,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.6997348886532343,0.5596205330539111
4,msd,10,10,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.6574172263461765,0.7557377718134396
4,msd,10,15,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.6335041475550489,0.8438241625325713
4,msd,10,20,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.617765995305442,0.8996385412700539
4,msd,10,25,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.6067581480494966,0.934668886493896
4,msd,10,30,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.5989569002175323,0.9573473453603395
4,msd,10,35,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.5933047071730565,0.9724761909307885
4,msd,10,40,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.5890487106262189,0.9824685972459101
4,msd,10,45,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.5858996345731315,0.989020762865163
4,msd,10,50,coarse,1.5,0.9842566955698879,0.9920971200290262,0.0,0.9842566955698879,0.5833374079454166,0.9930988005319613
4,msd,10,5,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.6997348886532343,0.5596205330539111
4,msd,10,10,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.6575232708848828,0.755797702294082
4,msd,10,15,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.6334334511959115,0.8437856357950155
4,msd,10,20,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.6178190175747951,0.8997217689018252
4,msd,10,25,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.606800565864979,0.934703684837495
4,msd,10,30,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.5989569002175323,0.9573473453603395
4,msd,10,35,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.5933047071730565,0.9724761909307885
4,msd,10,40,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.5889956883568657,0.9823858752447422
4,msd,10,45,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.5858760691200856,0.9889848045767775
4,msd,10,50,coarse,2.0,0.9834025195371826,0.991666536461316,0.0,0.9834025195371826,0.5833374079454166,0.9930988005319613
4,msd,10,5,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.6997348886532343,0.5596205330539111
4,msd,10,10,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.6575232708848828,0.755797702294082
4,msd,10,15,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.6334334511959115,0.843733772879075
4,msd,10,20,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.6178720398441481,0.8997936854785963
4,msd,10,25,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.6067581480494966,0.9346688864938961
4,msd,10,30,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.5989922483971011,0.9573702974593089
4,msd,10,35,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.5933047071730565,0.9724761909307885
4,msd,10,40,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.5890752217608954,0.9824959547406875
4,msd,10,45,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.5858996345731314,0.98902629490953
4,msd,10,50,coarse,2.5,0.9826521128675567,0.9912881079018131,0.0,0.9826521128675567,0.5833374079454166,0.9931180639007392
4,msd,10,5,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.6997348886532343,0.5596205330539111
4,msd,10,10,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.6575232708848828,0.7557313177616781
4,msd,10,15,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.6335041475550489,0.8438108263541867
4,msd,10,20,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.6179780843828544,0.8999026499888552
4,msd,10,25,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.6067157302340142,0.9346273961611437
4,msd,10,30,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.5990275965766699,0.9574074956886732
4,msd,10,35,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.5933350056126868,0.9724991430297579
4,msd,10,40,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.5890752217608954,0.9824781731695078
4,msd,10,45,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.5859467654792232,0.9891112872275319
4,msd,10,50,coarse,3.0,0.9819965549568443,0.9909573931087271,0.0,0.9819965549568443,0.5833586168531578,0.9931630117612211
4,msd,10,5,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.6997348886532343,0.5596205330539111
4,msd,10,10,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.6576293154235889,0.7558361961028023
4,msd,10,15,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.6335041475550489,0.8438108263541867
4,msd,10,20,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.6179780843828544,0.8999026499888552
4,msd,10,25,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.6066733124185316,0.9345914378727581
4,msd,10,30,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.5990982929358074,0.9574854439783347
4,msd,10,35,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.5933350056126868,0.9724991430297579
4,msd,10,40,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.5890752217608954,0.9824781731695078
4,msd,10,45,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.5859467654792232,0.9891112872275319
4,msd,10,50,coarse,3.5,0.9814279211885139,0.9906704402517085,0.0,0.9814279211885139,0.583379825760899,0.9931841636955655
4,msd,10,5,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.7001590668080594,0.5598945009654196
4,msd,10,10,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.6574172263461766,0.7557408931204274
4,msd,10,15,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.6334334511959115,0.8437127582949535
4,msd,10,20,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.6180311066522076,0.8999363608842166
4,msd,10,25,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.6066733124185316,0.9345914378727581
4,msd,10,30,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.5990982929358074,0.9574854439783347
4,msd,10,35,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.5933653040523172,0.9725242302077013
4,msd,10,40,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.589101732895572,0.9825011252684772
4,msd,10,45,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.5859467654792232,0.9891063479022043
4,msd,10,50,coarse,4.0,0.980938961445886,0.9904236272655687,0.0,0.980938961445886,0.5833586168531578,0.993141013749503
4,msd,10,5,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.6999469777306468,0.559740394015196
4,msd,10,10,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.6575232708848828,0.7558757367018729
4,msd,10,15,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.6334334511959115,0.8437127582949535
4,msd,10,20,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.6179780843828544,0.8999106763925127
4,msd,10,25,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.6066733124185316,0.9345914378727581
4,msd,10,30,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.5990982929358074,0.9574913280618889
4,msd,10,35,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.5933653040523172,0.9725242302077013
4,msd,10,40,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.5890487106262188,0.982434345590047
4,msd,10,45,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.5859467654792232,0.9891063479022043
4,msd,10,50,coarse,4.5,0.9805229556156654,0.9902135909063586,0.0,0.9805229556156654,0.5833586168531578,0.993141013749503
4,msd,10,5,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.7001590668080594,0.5600100811780871
4,msd,10,10,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.6576293154235889,0.7559356671825153
4,msd,10,15,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.6334334511959115,0.8437127582949535
4,msd,10,20,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.6180311066522076,0.8998804593434493
4,msd,10,25,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.6066733124185316,0.9346045136139892
4,msd,10,30,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.5990629447562387,0.9574656435701848
4,msd,10,35,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.5933653040523172,0.9725242302077013
4,msd,10,40,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.5890487106262188,0.982434345590047
4,msd,10,45,coarse,5.0,0.9801736647632031,0.990037203726811,0.0,0.9801736647632031,0.5859467654792232,0.9891063479022043
