fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,lambda
7,ami,0.4,optimized,10,5,1.1165371421170094,1.056663211301032,0.6882290562036055,0.5500815453872477,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.6537292329445034,0.7136682060860259,0.03
7,ami,0.4,optimized,10,10,1.1165371421170094,1.056663211301032,0.649691124240435,0.7461966305530215,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.6230941439849181,0.8698096540325074,0.03
7,ami,0.4,optimized,10,15,1.1165371421170094,1.056663211301032,0.6328390297107158,0.8402121653553414,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.607533440990493,0.9422268678163634,0.03
7,ami,0.4,optimized,10,20,1.1165371421170094,1.056663211301032,0.6185753598328002,0.8972099996336697,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.5973797356877917,0.9733675062935848,0.03
7,ami,0.4,optimized,10,25,1.1165371421170094,1.056663211301032,0.6081421380528128,0.9329647585320928,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.5918118894378026,0.9881683845634456,0.03
7,ami,0.4,optimized,10,30,1.1165371421170094,1.056663211301032,0.6007874996092066,0.9551719606648824,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.5881305531203452,0.994793407551634,0.03
7,ami,0.4,optimized,10,35,1.1165371421170094,1.056663211301032,0.5955429904740249,0.9705533397830144,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.586297735549522,0.9975474532922286,0.03
7,ami,0.4,optimized,10,40,1.1165371421170094,1.056663211301032,0.5917215917176483,0.9807716643493553,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.5852936169475914,0.9987675538024096,0.03
7,ami,0.4,optimized,10,45,1.1165371421170094,1.056663211301032,0.5889492467349453,0.9879192621327368,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.5849656404440723,0.999410123662684,0.03
7,ami,0.4,optimized,10,50,1.1165371421170094,1.056663211301032,0.5864436911757195,0.9919570025222336,0.018,1.1345371421170094,1.059779891477764,0.8436334638954514,0.5847170735188252,0.9997399493876908,0.03
7,ami,0.4,optimized,20,5,1.0689006354348138,1.0338765087933923,0.7032873806998939,0.559443290302907,0.018,1.086900635434814,1.0375974577925542,0.825229831716207,0.6622127960410039,0.7176980259146353,0.03
7,ami,0.4,optimized,20,10,1.0689006354348138,1.0338765087933923,0.6596593108788231,0.7542611357893534,0.018,1.086900635434814,1.0375974577925542,0.825229831716207,0.625108990220337,0.87341225765197,0.03
