fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall
4,pcc,1.5500000000000005,optimized,10,5,1.0377804250151568,0.8204404782807229,0.6634146341463414,0.7142872752589416
4,pcc,1.5500000000000005,optimized,10,10,1.0377804250151568,0.8204404782807229,0.6242294938477335,0.8766439127820342
4,pcc,1.5500000000000005,optimized,10,15,1.0377804250151568,0.8204404782807229,0.6025156827383763,0.9431615202073882
4,pcc,1.5500000000000005,optimized,10,20,1.0377804250151568,0.8204404782807229,0.5912120581090489,0.9737591210810371
4,pcc,1.5500000000000005,optimized,10,25,1.0377804250151568,0.8204404782807229,0.584798481214583,0.9882600202260292
4,pcc,1.5500000000000005,optimized,10,30,1.0377804250151568,0.8204404782807229,0.5806834886200497,0.9938525187399453
4,pcc,1.5500000000000005,optimized,10,35,1.0377804250151568,0.8204404782807229,0.5789764666413287,0.9970095242614039
4,pcc,1.5500000000000005,optimized,10,40,1.0377804250151568,0.8204404782807229,0.5781093034255581,0.9985156635723651
4,pcc,1.5500000000000005,optimized,10,45,1.0377804250151568,0.8204404782807229,0.5777083132019263,0.9991979334001111
4,pcc,1.5500000000000005,optimized,10,50,1.0377804250151568,0.8204404782807229,0.5774020431490995,0.999366379070696
4,pcc,1.0,baseline,10,5,1.0347944368330904,0.8183913430893757,0.6644750795334039,0.7151213257278235
4,pcc,1.0,baseline,10,10,1.0347944368330904,0.8183913430893757,0.6250778501573836,0.8770943447062165
4,pcc,1.0,baseline,10,15,1.0347944368330904,0.8183913430893757,0.6031519499706138,0.9444050052479651
4,pcc,1.0,baseline,10,20,1.0347944368330904,0.8183913430893757,0.5912120581090489,0.9737470676953882
4,pcc,1.0,baseline,10,25,1.0347944368330904,0.8183913430893757,0.5847560633991005,0.988077296747701
4,pcc,1.0,baseline,10,30,1.0347944368330904,0.8183913430893757,0.5807541849791872,0.9939744285124393
4,pcc,1.0,baseline,10,35,1.0347944368330904,0.8183913430893757,0.5789158697620681,0.9968732056890311
4,pcc,1.0,baseline,10,40,1.0347944368330904,0.8183913430893757,0.5781093034255581,0.9985156635723651
4,pcc,1.0,baseline,10,45,1.0347944368330904,0.8183913430893757,0.5777318786549721,0.9992411486118655
4,pcc,1.0,baseline,10,50,1.0347944368330904,0.8183913430893757,0.5774232520568408,0.9994095942824505
4,pcc,2.549999999999998,optimized,20,5,1.0251739076164814,0.8099705738348092,0.6676564156945917,0.7178866992248559
4,pcc,2.549999999999998,optimized,20,10,1.0251739076164814,0.8099705738348092,0.6241234493090272,0.8761427316603415
4,pcc,2.549999999999998,optimized,20,15,1.0251739076164814,0.8099705738348092,0.6039296099211264,0.9452228571214784
4,pcc,2.549999999999998,optimized,20,20,1.0251739076164814,0.8099705738348092,0.5911590358396956,0.9738611162036725
4,pcc,2.549999999999998,optimized,20,25,1.0251739076164814,0.8099705738348092,0.5848833168455481,0.9883026434158994
4,pcc,2.549999999999998,optimized,20,30,1.0251739076164814,0.8099705738348092,0.5810016222361684,0.9942768645631589
4,pcc,2.549999999999998,optimized,20,35,1.0251739076164814,0.8099705738348092,0.5790673619602199,0.9969730581688275
4,pcc,2.549999999999998,optimized,20,40,1.0251739076164814,0.8099705738348092,0.5781358145602347,0.9987267357645137
4,pcc,2.549999999999998,optimized,20,45,1.0251739076164814,0.8099705738348092,0.5777318786549721,0.9992640272533826
4,pcc,2.549999999999998,optimized,20,50,1.0251739076164814,0.8099705738348092,0.5774020431490995,0.999366379070696
4,pcc,1.0,baseline,20,5,1.013751166477536,0.8027662452760326,0.6699893955461294,0.7194088428147685
4,pcc,1.0,baseline,20,10,1.013751166477536,0.8027662452760326,0.6260322510057398,0.8786865116851196
4,pcc,1.0,baseline,20,15,1.013751166477536,0.8027662452760326,0.6054142334630139,0.9467917805214818
4,pcc,1.0,baseline,20,20,1.013751166477536,0.8027662452760326,0.5915832139945206,0.9744492923746225
4,pcc,1.0,baseline,20,25,1.013751166477536,0.8027662452760326,0.584883316845548,0.9881241369420958
4,pcc,1.0,baseline,20,30,1.013751166477536,0.8027662452760326,0.5810016222361685,0.9942931062845352
4,pcc,1.0,baseline,20,35,1.013751166477536,0.8027662452760326,0.5790976603998502,0.9970711016376576
4,pcc,1.0,baseline,20,40,1.013751166477536,0.8027662452760326,0.5780827922908814,0.9984724483606106
4,pcc,1.0,baseline,20,45,1.013751166477536,0.8027662452760326,0.5777083132019263,0.9990393081522589
4,pcc,1.0,baseline,20,50,1.013751166477536,0.8027662452760326,0.5774232520568408,0.9994095942824505
4,pcc,3.0,optimized,30,5,1.024824240299883,0.8092169879372804,0.6678685047720042,0.7198875669588698
4,pcc,3.0,optimized,30,10,1.024824240299883,0.8092169879372804,0.6250778501573835,0.8766526871592091
4,pcc,3.0,optimized,30,15,1.024824240299883,0.8092169879372804,0.6040710026394013,0.9453661318883487
4,pcc,3.0,optimized,30,20,1.024824240299883,0.8092169879372804,0.5911060135703426,0.9737478014505693
4,pcc,3.0,optimized,30,25,1.024824240299883,0.8092169879372804,0.5850105702919955,0.9884602961289056
4,pcc,3.0,optimized,30,30,1.024824240299883,0.8092169879372804,0.581072318595306,0.9944068272595686
4,pcc,3.0,optimized,30,35,1.024824240299883,0.8092169879372804,0.5790673619602199,0.9970139256939424
4,pcc,3.0,optimized,30,40,1.024824240299883,0.8092169879372804,0.5781358145602347,0.9987267357645137
4,pcc,3.0,optimized,30,45,1.024824240299883,0.8092169879372804,0.5777318786549721,0.9992640272533826
4,pcc,3.0,optimized,30,50,1.024824240299883,0.8092169879372804,0.5774020431490995,0.999366379070696
4,pcc,1.0,baseline,30,5,1.0086216518851225,0.7996416454326416,0.6742311770943796,0.7234523409586511
4,pcc,1.0,baseline,30,10,1.0086216518851225,0.7996416454326416,0.6263503846218587,0.8786426048077606
4,pcc,1.0,baseline,30,15,1.0086216518851225,0.7996416454326416,0.6048486625899139,0.9461447717178393
4,pcc,1.0,baseline,30,20,1.0086216518851225,0.7996416454326416,0.5923255257654645,0.9756421065668541
4,pcc,1.0,baseline,30,25,1.0086216518851225,0.7996416454326416,0.5849257346610305,0.9882395080728337
4,pcc,1.0,baseline,30,30,1.0086216518851225,0.7996416454326416,0.5810369704157372,0.9943792817990771
4,pcc,1.0,baseline,30,35,1.0086216518851225,0.7996416454326416,0.5790370635205896,0.9970018624352794
4,pcc,1.0,baseline,30,40,1.0086216518851225,0.7996416454326416,0.5780297700215284,0.9982045140477324
4,pcc,1.0,baseline,30,45,1.0086216518851225,0.7996416454326416,0.5776611822958346,0.9989465187336269
4,pcc,1.0,baseline,30,50,1.0086216518851225,0.7996416454326416,0.5774232520568408,0.9994095942824505
4,pcc,3.5,optimized,40,5,1.029453742058025,0.812310249173125,0.6663838812301166,0.7187402467385158
4,pcc,3.5,optimized,40,10,1.029453742058025,0.812310249173125,0.6233811375380833,0.8752168546101299
4,pcc,3.5,optimized,40,15,1.029453742058025,0.812310249173125,0.6033640390480264,0.9445690678799495
4,pcc,3.5,optimized,40,20,1.029453742058025,0.812310249173125,0.591265080378402,0.9740353759573233
4,pcc,3.5,optimized,40,25,1.029453742058025,0.812310249173125,0.5848833168455481,0.9882662038512046
4,pcc,3.5,optimized,40,30,1.029453742058025,0.812310249173125,0.5811430149544434,0.9945288212439222
4,pcc,3.5,optimized,40,35,1.029453742058025,0.812310249173125,0.5790370635205896,0.9969345487877541
4,pcc,3.5,optimized,40,40,1.029453742058025,0.812310249173125,0.5781093034255581,0.9986643137919793
4,pcc,3.5,optimized,40,45,1.029453742058025,0.812310249173125,0.5777318786549721,0.9992640272533826
4,pcc,3.5,optimized,40,50,1.029453742058025,0.812310249173125,0.5774232520568408,0.9994095942824505
4,pcc,1.0,baseline,40,5,1.0067324472622385,0.798574700994761,0.6752916224814421,0.7238724244735792
4,pcc,1.0,baseline,40,10,1.0067324472622385,0.798574700994761,0.62688060731539,0.8794971500259959
4,pcc,1.0,baseline,40,15,1.0067324472622385,0.798574700994761,0.6047072698716389,0.9450506091885825
4,pcc,1.0,baseline,40,20,1.0067324472622385,0.798574700994761,0.5917953030719333,0.9748927966992134
4,pcc,1.0,baseline,40,25,1.0067324472622385,0.798574700994761,0.5849257346610305,0.9883447274477158
4,pcc,1.0,baseline,40,30,1.0067324472622385,0.798574700994761,0.5811076667748748,0.994547191966248
4,pcc,1.0,baseline,40,35,1.0067324472622385,0.798574700994761,0.5790976603998501,0.997101428517023
4,pcc,1.0,baseline,40,40,1.0067324472622385,0.798574700994761,0.578056281156205,0.9984657586993483
4,pcc,1.0,baseline,40,45,1.0067324472622385,0.798574700994761,0.5776847477488803,0.9990089407061613
4,pcc,1.0,baseline,40,50,1.0067324472622385,0.798574700994761,0.5774020431490995,0.9991848751813269
4,pcc,3.5,optimized,50,5,1.0283586375780682,0.8116364447839509,0.6657476139978791,0.7189121300986014
4,pcc,3.5,optimized,50,10,1.0283586375780682,0.8116364447839509,0.6234871820767898,0.8746449300326569
4,pcc,3.5,optimized,50,15,1.0283586375780682,0.8116364447839509,0.6036468244845764,0.9448856816656643
4,pcc,3.5,optimized,50,20,1.0283586375780682,0.8116364447839509,0.5917422808025802,0.974718266023714
4,pcc,3.5,optimized,50,25,1.0283586375780682,0.8116364447839509,0.5849681524765131,0.9883692001058862
4,pcc,3.5,optimized,50,30,1.0283586375780682,0.8116364447839509,0.5811076667748747,0.9945121007067995
4,pcc,3.5,optimized,50,35,1.0283586375780682,0.8116364447839509,0.5790673619602198,0.9970094551547952
4,pcc,3.5,optimized,50,40,1.0283586375780682,0.8116364447839509,0.5781093034255581,0.9986643137919793
4,pcc,3.5,optimized,50,45,1.0283586375780682,0.8116364447839509,0.5777318786549721,0.9992640272533826
4,pcc,3.5,optimized,50,50,1.0283586375780682,0.8116364447839509,0.5774232520568408,0.9994095942824505
4,pcc,1.0,baseline,50,5,1.0061722304763918,0.7984507506223276,0.6750795334040296,0.7241979748503523
4,pcc,1.0,baseline,50,10,1.0061722304763918,0.7984507506223276,0.6267745627766836,0.8790188828279666
4,pcc,1.0,baseline,50,15,1.0061722304763918,0.7984507506223276,0.6044951807942264,0.9448412982950578
4,pcc,1.0,baseline,50,20,1.0061722304763918,0.7984507506223276,0.591689258533227,0.9748338012610044
4,pcc,1.0,baseline,50,25,1.0061722304763918,0.7984507506223276,0.5848408990300654,0.9881096641340009
4,pcc,1.0,baseline,50,30,1.0061722304763918,0.7984507506223276,0.581072318595306,0.9945257901470934
4,pcc,1.0,baseline,50,35,1.0061722304763918,0.7984507506223276,0.579158257279111,0.9973852842237055
4,pcc,1.0,baseline,50,40,1.0061722304763918,0.7984507506223276,0.5780297700215284,0.9984125126117334
4,pcc,1.0,baseline,50,45,1.0061722304763918,0.7984507506223276,0.5776611822958346,0.9989465187336269
4,pcc,1.0,baseline,50,50,1.0061722304763918,0.7984507506223276,0.5774020431490995,0.9991848751813269
4,pcc,3.5,optimized,60,5,1.0275999284094086,0.8110680131058143,0.6659597030752916,0.7185630534573899
4,pcc,3.5,optimized,60,10,1.0275999284094086,0.8110680131058143,0.6233811375380833,0.8745992428366147
4,pcc,3.5,optimized,60,15,1.0275999284094086,0.8110680131058143,0.6037175208437138,0.9448578147136402
4,pcc,3.5,optimized,60,20,1.0275999284094086,0.8110680131058143,0.5915832139945206,0.9745323238153001
4,pcc,3.5,optimized,60,25,1.0275999284094086,0.8110680131058143,0.5850105702919955,0.9884124153176408
4,pcc,3.5,optimized,60,30,1.0275999284094086,0.8110680131058143,0.581072318595306,0.9944688854950451
4,pcc,3.5,optimized,60,35,1.0275999284094086,0.8110680131058143,0.5790976603998501,0.9970526703665499
4,pcc,3.5,optimized,60,40,1.0275999284094086,0.8110680131058143,0.5781093034255581,0.9986643137919793
4,pcc,3.5,optimized,60,45,1.0275999284094086,0.8110680131058143,0.5777318786549721,0.9992640272533826
4,pcc,3.5,optimized,60,50,1.0275999284094086,0.8110680131058143,0.5774232520568408,0.9994095942824505
4,pcc,1.0,baseline,60,5,1.0054876105422477,0.7978764997829447,0.6767762460233299,0.7256374812175641
4,pcc,1.0,baseline,60,10,1.0054876105422477,0.7978764997829447,0.6267745627766836,0.879095698499627
