fold,method,alpha,type,K,TopN,RMSE,MAD,lambda
1,acos,0.05,optimized,10,5,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,10,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,15,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,20,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,25,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,30,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,35,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,40,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,45,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,10,50,1.045132133917077,0.8423021756426945,0.01
1,acos,0.05,optimized,20,5,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,10,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,15,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,20,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,25,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,30,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,35,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,40,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,45,1.01675370666678,0.8179753987949916,0.01
1,acos,0.05,optimized,20,50,1.01675370666678,0.8179753987949916,0.01
1,acos,0.2,optimized,30,5,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,10,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,15,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,20,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,25,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,30,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,35,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,40,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,45,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.2,optimized,30,50,1.0106539697497947,0.8122002989345746,0.01
1,acos,0.25,optimized,40,5,1.0084882048194872,0.8091898574128686,0.01
1,acos,0.25,optimized,40,10,1.0084882048194872,0.8091898574128686,0.01
1,acos,0.25,optimized,40,15,1.0084882048194872,0.8091898574128686,0.01
1,acos,0.25,optimized,40,20,1.0084882048194872,0.8091898574128686,0.01
1,acos,0.25,optimized,40,25,1.0084882048194872,0.8091898574128686,0.01
1,acos,0.25,optimized,40,30,1.0084882048194872,0.8091898574128686,0.01
