fold,method,K,TopN,lambda,baseline_val_mse,baseline_val_rmse,baseline_val_precision,baseline_val_recall,baseline_test_rmse,baseline_test_mad,baseline_reg_penalty,baseline_reg_score,optimized_alpha,opt_val_mse,opt_val_rmse,opt_val_precision,opt_val_recall,opt_test_rmse,opt_test_mad,opt_reg_penalty,opt_reg_score,val_rmse_improvement,val_rmse_improvement_pct,test_rmse_improvement,test_rmse_improvement_pct,test_mad_improvement,test_mad_improvement_pct,val_test_gap
1,acos,10,5,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.7085896076352068,0.5740737906621614,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,10,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.6596147048427006,0.7623206279144685,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,15,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.633666545543534,0.8495032069617938,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,20,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.6174964359860646,0.903941733112075,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,25,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.6039778500489716,0.9359248027124376,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,30,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.5953504095478337,0.957399562868566,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,35,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.590093587261632,0.9723985301258564,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,40,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.5857189031777332,0.9816782478919582,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,45,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.5823017731775291,0.9875694385386036,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,10,50,0.001,,,,,,,,,0.05,1.049398163641189,1.024401368429967,0.5799958792158794,0.991839031055128,1.045132133917077,0.8423021756426945,0.00095,1.050348163641189,,,,,,,
1,acos,20,5,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.71898197242842,0.5783629355790643,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,10,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.6686284906327324,0.770040165271259,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,15,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.6381204161691967,0.8527723155989052,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,20,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.6197763935682491,0.9059576165116556,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,25,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.6049958776205517,0.9368192661752782,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,30,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.5965875958327401,0.9585031481476344,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,35,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.5907298544938694,0.9730843814871364,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,40,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.5864347038140003,0.9826346323127694,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,45,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.5830087367689041,0.9885826566234156,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,20,50,0.001,,,,,,,,,0.05,1.0032596505526656,1.0016284992713944,0.5803140128319981,0.9922564165246136,1.01675370666678,0.8179753987949916,0.00095,1.0042096505526656,,,,,,,
1,acos,30,5,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.7219512195121951,0.5793288355689314,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,10,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.6673559561682573,0.768907269381745,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,15,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.6382618088874717,0.8530534479796806,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,20,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.6193522154134241,0.9052210947606504,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,25,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.6056321448527892,0.937233715363852,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,30,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.5969410776284277,0.9589130161378768,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,35,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.5908510482523909,0.9732913406709444,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,40,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.5864347038140003,0.9825105770555754,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,45,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.5830087367689041,0.9883816886905962,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,30,50,0.001,,,,,,,,,0.1,0.9982755708800896,0.999137413412234,0.5803988484629631,0.9922750498312708,1.0096942836591514,0.8111431635031646,0.0009,0.9991755708800896,,,,,,,
1,acos,40,5,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.7236479321314953,0.5797807470001836,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,10,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.6691587133262636,0.7707454090453423,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,15,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.6382618088874717,0.8524633027471715,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,20,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.6197233712988959,0.906257445009246,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,25,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.6056745626682718,0.9375732873976468,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,30,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.597188514885409,0.9591477245901964,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,35,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.5910025404505428,0.9733384770757884,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,40,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.586461214948677,0.9824205087908168,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,45,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.582890909503675,0.9883377575020618,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,40,50,0.001,,,,,,,,,0.15,0.9957052423152978,0.9978503105753376,0.5804412662784455,0.9926296924094168,1.007533801950019,0.8082054208869697,0.00085,0.9965552423152978,,,,,,,
1,acos,50,5,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.7242841993637328,0.5801270358578826,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,10,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.6683103570166137,0.7698194404972118,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,15,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.6386859870422968,0.8533558717626486,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,20,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.6196703490295429,0.9058653129556328,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,25,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.6055897270373068,0.9374934059640324,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,30,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.596905729448859,0.9590508060874134,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,35,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.5907904513731302,0.9729733113184654,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,40,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.5863021481406175,0.982218657018292,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,45,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.582867344050629,0.9883810240028316,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,50,50,0.001,,,,,,,,,0.2,0.9973571352628242,0.9986776933840188,0.5804412662784455,0.9925561602032827,1.0069901095995777,0.8071487630689087,0.0008,0.9981571352628242,,,,,,,
1,acos,60,5,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.7236479321314953,0.5804829281091362,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,10,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.6677801343230824,0.7691277454991381,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,15,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.6388980761197092,0.8528010074235958,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,20,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.6194582599521304,0.9057617982358585,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,25,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.6051231310669992,0.9368997941232776,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,30,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.597047122167134,0.9592196455656622,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,35,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.5905480638560873,0.9727125985816584,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,40,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.5861165701978817,0.9820724972155168,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,45,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.5830323022219499,0.9883529532739268,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,60,50,0.001,,,,,,,,,0.2,0.998374546294746,0.9991869426162184,0.5804412662784456,0.9926557964382792,1.0067976420374751,0.8063840319707449,0.0008,0.999174546294746,,,,,,,
1,acos,70,5,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.7234358430540828,0.5796989804466972,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,10,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.6674620007069636,0.7688913285522082,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,15,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.6382618088874717,0.8523255317097383,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,20,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.6200415049150149,0.906440372432312,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,25,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.6050382954360342,0.9368790551407264,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,30,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.5971531667058402,0.9592340403502024,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,35,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.5906995560542392,0.9728570192366934,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,40,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.5861165701978815,0.9820675397812976,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,45,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.582890909503675,0.988304609316503,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,70,50,0.001,,,,,,,,,0.25,0.9998647956052704,0.9999323955174522,0.5803776395552218,0.992571572476878,1.0073645313607753,0.8067010997383861,0.00075,1.0006147956052704,,,,,,,
1,acos,80,5,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.7225874867444326,0.5798031475967903,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,10,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.6673559561682573,0.7687092240529382,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,15,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.6378376307326467,0.8518040271890741,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,20,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.6197763935682492,0.9061893280080664,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,25,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.6053776379598942,0.937221755322998,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,30,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.5970824703467027,0.9592229123126306,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,35,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.5908207498127606,0.9731584721661624,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,40,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.5861165701978817,0.982094142142791,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,45,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.5829851713158583,0.9884351106160136,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,80,50,0.001,,,,,,,,,0.25,1.000861867660216,1.0004308410181166,0.5803564306474805,0.99252309771116,1.007917820258348,0.807012681947209,0.00075,1.001611867660216,,,,,,,
1,acos,90,5,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.7217391304347828,0.579294904825524,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,10,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.6685224460940262,0.7690144906869134,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,15,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.6379083270917841,0.8519922058128728,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,20,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.6200415049150149,0.906301787682488,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,25,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.6054624735908593,0.9373395562335454,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,30,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.5970824703467027,0.9592383250030035,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,35,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.5905783622957177,0.972730817557664,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,40,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.5860635479285285,0.9820255275614488,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,45,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.5829616058628123,0.9883698246065216,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,90,50,0.001,,,,,,,,,0.25,1.001844294058053,1.0009217222430795,0.5803776395552218,0.992577904557558,1.008439481483015,0.8075286685097356,0.00075,1.002594294058053,,,,,,,
1,acos,100,5,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.7223753976670202,0.5799348015672575,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,10,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.6670378225521385,0.7677956500904594,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,15,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.6384032016057467,0.8526629744253383,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,20,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.6191401263360116,0.9057129631805948,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,25,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.6057169804837543,0.937591088744842,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,30,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.5969057294488589,0.9589728430721484,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,35,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.590608660735348,0.9727904662716264,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,40,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.5859575033898221,0.9817801265420708,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,45,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.5829380404097665,0.9883455310544512,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,acos,100,50,0.001,,,,,,,,,0.3,1.003125688370211,1.0015616248490211,0.5803352217397394,0.9925360520166304,1.0091579418555636,0.808144887657179,0.0007,1.003825688370211,,,,,,,
1,ami,10,5,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.7141039236479322,0.5711505704862738,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,10,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.6706433368681514,0.7685499835095942,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,15,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.6424328940765845,0.8549396462644535,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,20,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.622586573843965,0.9072907175292548,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,25,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.6080923781507745,0.9400917506391792,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,30,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.5988852275047091,0.9605427301824588,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,35,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.5917600014413017,0.9737986090023032,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,40,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.5873891046623566,0.983825359454868,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,45,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.5838806585315999,0.9895576553504408,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,10,50,0.001,,,,,,,,,0.15,1.0094531104297677,1.0047154375392904,0.5808654444332706,0.993022792499608,1.0497786208248308,0.8359223846911884,0.00085,1.0103031104297675,,,,,,,
1,ami,20,5,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.7257688229056203,0.5792009042112655,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,10,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.6730823612583953,0.7712468565443577,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,15,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.6439882139776095,0.8567253208060428,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,20,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.624283286463265,0.9090850222451362,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,25,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.6099163442165221,0.9415007471640598,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,30,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.5997335838143592,0.961967814214156,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,35,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.5925780593113215,0.9748937436901488,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,40,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.5875216603357396,0.9835982166428856,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,45,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.5839042239846458,0.9896562342795368,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,20,50,0.001,,,,,,,,,0.25,0.9787103645740692,0.9892979149750945,0.5809078622487531,0.9931395774054717,1.0291008770157843,0.8191765575264984,0.00075,0.9794603645740692,,,,,,,
1,ami,30,5,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.7285259809119831,0.5830099678195579,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,10,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.6747790738776952,0.7729925959770955,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,15,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.6449072666463971,0.8571680055317115,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,20,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.6243363087326183,0.9093778996031512,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,25,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.6098739264010394,0.9415233098796968,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,30,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.5996982356347904,0.9619826452699486,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,35,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.5924871639924304,0.9752133755438336,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,40,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.5874951492010629,0.9839349545968976,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,45,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.583857093078554,0.9894011220490946,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,30,50,0.001,,,,,,,,,0.4,0.9769330302474232,0.988399226146714,0.5808230266177882,0.9930752226610652,1.0221896139667397,0.8134503465694494,0.0006,0.9775330302474232,,,,,,,
1,ami,40,5,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.7302226935312832,0.5818461314036876,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,10,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.6734004948745139,0.7718374023710113,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,15,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.6454021411603595,0.8584840890611981,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,20,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.6240181751164995,0.909147661249786,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,25,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.6092800769842844,0.9407776481864076,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,30,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.5994154501982404,0.9615432566408492,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,35,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.592547760871691,0.975256986375272,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,40,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.5874951492010629,0.9839827531280442,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
1,ami,40,45,0.001,,,,,,,,,0.5,0.9792304482880432,0.9895607350173324,0.5837157003602792,0.9892636004105582,1.0196057454871723,0.811524839633158,0.0005,0.9797304482880432,,,,,,,
