fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,lambda
1,acos,0.05,optimized,10,5,1.049398163641189,1.024401368429967,0.7085896076352068,0.5740737906621614,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,10,1.049398163641189,1.024401368429967,0.6596147048427006,0.7623206279144685,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,15,1.049398163641189,1.024401368429967,0.633666545543534,0.8495032069617938,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,20,1.049398163641189,1.024401368429967,0.6174964359860646,0.903941733112075,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,25,1.049398163641189,1.024401368429967,0.6039778500489716,0.9359248027124376,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,30,1.049398163641189,1.024401368429967,0.5953504095478337,0.957399562868566,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,35,1.049398163641189,1.024401368429967,0.590093587261632,0.9723985301258564,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,40,1.049398163641189,1.024401368429967,0.5857189031777332,0.9816782478919582,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,45,1.049398163641189,1.024401368429967,0.5823017731775291,0.9875694385386036,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,10,50,1.049398163641189,1.024401368429967,0.5799958792158794,0.991839031055128,0.00095,1.050348163641189,1.045132133917077,0.8423021756426945,0.001
1,acos,0.05,optimized,20,5,1.0032596505526656,1.0016284992713944,0.71898197242842,0.5783629355790643,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,10,1.0032596505526656,1.0016284992713944,0.6686284906327324,0.770040165271259,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,15,1.0032596505526656,1.0016284992713944,0.6381204161691967,0.8527723155989052,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,20,1.0032596505526656,1.0016284992713944,0.6197763935682491,0.9059576165116556,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,25,1.0032596505526656,1.0016284992713944,0.6049958776205517,0.9368192661752782,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,30,1.0032596505526656,1.0016284992713944,0.5965875958327401,0.9585031481476344,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,35,1.0032596505526656,1.0016284992713944,0.5907298544938694,0.9730843814871364,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,40,1.0032596505526656,1.0016284992713944,0.5864347038140003,0.9826346323127694,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,45,1.0032596505526656,1.0016284992713944,0.5830087367689041,0.9885826566234156,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.05,optimized,20,50,1.0032596505526656,1.0016284992713944,0.5803140128319981,0.9922564165246136,0.00095,1.0042096505526656,1.01675370666678,0.8179753987949916,0.001
1,acos,0.1,optimized,30,5,0.9982755708800896,0.999137413412234,0.7219512195121951,0.5793288355689314,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,10,0.9982755708800896,0.999137413412234,0.6673559561682573,0.768907269381745,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,15,0.9982755708800896,0.999137413412234,0.6382618088874717,0.8530534479796806,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,20,0.9982755708800896,0.999137413412234,0.6193522154134241,0.9052210947606504,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,25,0.9982755708800896,0.999137413412234,0.6056321448527892,0.937233715363852,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,30,0.9982755708800896,0.999137413412234,0.5969410776284277,0.9589130161378768,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,35,0.9982755708800896,0.999137413412234,0.5908510482523909,0.9732913406709444,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,40,0.9982755708800896,0.999137413412234,0.5864347038140003,0.9825105770555754,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,45,0.9982755708800896,0.999137413412234,0.5830087367689041,0.9883816886905962,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.1,optimized,30,50,0.9982755708800896,0.999137413412234,0.5803988484629631,0.9922750498312708,0.0009000000000000001,0.9991755708800896,1.0096942836591514,0.8111431635031646,0.001
1,acos,0.15,optimized,40,5,0.9957052423152978,0.9978503105753376,0.7236479321314953,0.5797807470001836,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,10,0.9957052423152978,0.9978503105753376,0.6691587133262636,0.7707454090453423,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,15,0.9957052423152978,0.9978503105753376,0.6382618088874717,0.8524633027471715,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,20,0.9957052423152978,0.9978503105753376,0.6197233712988959,0.906257445009246,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,25,0.9957052423152978,0.9978503105753376,0.6056745626682718,0.9375732873976468,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,30,0.9957052423152978,0.9978503105753376,0.597188514885409,0.9591477245901964,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,35,0.9957052423152978,0.9978503105753376,0.5910025404505428,0.9733384770757884,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,40,0.9957052423152978,0.9978503105753376,0.586461214948677,0.9824205087908168,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,45,0.9957052423152978,0.9978503105753376,0.582890909503675,0.9883377575020618,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.15,optimized,40,50,0.9957052423152978,0.9978503105753376,0.5804412662784455,0.9926296924094168,0.00085,0.9965552423152978,1.007533801950019,0.8082054208869697,0.001
1,acos,0.2,optimized,50,5,0.9973571352628242,0.9986776933840188,0.7242841993637328,0.5801270358578826,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,10,0.9973571352628242,0.9986776933840188,0.6683103570166137,0.7698194404972118,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,15,0.9973571352628242,0.9986776933840188,0.6386859870422968,0.8533558717626486,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,20,0.9973571352628242,0.9986776933840188,0.6196703490295429,0.9058653129556328,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,25,0.9973571352628242,0.9986776933840188,0.6055897270373068,0.9374934059640324,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,30,0.9973571352628242,0.9986776933840188,0.596905729448859,0.9590508060874134,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,35,0.9973571352628242,0.9986776933840188,0.5907904513731302,0.9729733113184654,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,40,0.9973571352628242,0.9986776933840188,0.5863021481406175,0.982218657018292,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,45,0.9973571352628242,0.9986776933840188,0.582867344050629,0.9883810240028316,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,50,50,0.9973571352628242,0.9986776933840188,0.5804412662784455,0.9925561602032827,0.0008,0.9981571352628242,1.0069901095995777,0.8071487630689087,0.001
1,acos,0.2,optimized,60,5,0.998374546294746,0.9991869426162184,0.7236479321314953,0.5804829281091362,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,10,0.998374546294746,0.9991869426162184,0.6677801343230824,0.7691277454991381,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,15,0.998374546294746,0.9991869426162184,0.6388980761197092,0.8528010074235958,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,20,0.998374546294746,0.9991869426162184,0.6194582599521304,0.9057617982358585,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,25,0.998374546294746,0.9991869426162184,0.6051231310669992,0.9368997941232776,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,30,0.998374546294746,0.9991869426162184,0.597047122167134,0.9592196455656622,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,35,0.998374546294746,0.9991869426162184,0.5905480638560873,0.9727125985816584,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,40,0.998374546294746,0.9991869426162184,0.5861165701978817,0.9820724972155168,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,45,0.998374546294746,0.9991869426162184,0.5830323022219499,0.9883529532739268,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.2,optimized,60,50,0.998374546294746,0.9991869426162184,0.5804412662784456,0.9926557964382792,0.0008,0.999174546294746,1.0067976420374751,0.8063840319707449,0.001
1,acos,0.25,optimized,70,5,0.9998647956052704,0.9999323955174522,0.7234358430540828,0.5796989804466972,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,10,0.9998647956052704,0.9999323955174522,0.6674620007069636,0.7688913285522082,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,15,0.9998647956052704,0.9999323955174522,0.6382618088874717,0.8523255317097383,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,20,0.9998647956052704,0.9999323955174522,0.6200415049150149,0.906440372432312,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,25,0.9998647956052704,0.9999323955174522,0.6050382954360342,0.9368790551407264,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,30,0.9998647956052704,0.9999323955174522,0.5971531667058402,0.9592340403502024,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,35,0.9998647956052704,0.9999323955174522,0.5906995560542392,0.9728570192366934,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,40,0.9998647956052704,0.9999323955174522,0.5861165701978815,0.9820675397812976,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,45,0.9998647956052704,0.9999323955174522,0.582890909503675,0.988304609316503,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,70,50,0.9998647956052704,0.9999323955174522,0.5803776395552218,0.992571572476878,0.00075,1.0006147956052704,1.0073645313607753,0.8067010997383861,0.001
1,acos,0.25,optimized,80,5,1.000861867660216,1.0004308410181166,0.7225874867444326,0.5798031475967903,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,10,1.000861867660216,1.0004308410181166,0.6673559561682573,0.7687092240529382,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,15,1.000861867660216,1.0004308410181166,0.6378376307326467,0.8518040271890741,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,20,1.000861867660216,1.0004308410181166,0.6197763935682492,0.9061893280080664,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,25,1.000861867660216,1.0004308410181166,0.6053776379598942,0.937221755322998,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,30,1.000861867660216,1.0004308410181166,0.5970824703467027,0.9592229123126306,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,35,1.000861867660216,1.0004308410181166,0.5908207498127606,0.9731584721661624,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,40,1.000861867660216,1.0004308410181166,0.5861165701978817,0.982094142142791,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,45,1.000861867660216,1.0004308410181166,0.5829851713158583,0.9884351106160136,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,80,50,1.000861867660216,1.0004308410181166,0.5803564306474805,0.99252309771116,0.00075,1.001611867660216,1.007917820258348,0.807012681947209,0.001
1,acos,0.25,optimized,90,5,1.001844294058053,1.0009217222430795,0.7217391304347828,0.579294904825524,0.00075,1.002594294058053,1.008439481483015,0.8075286685097356,0.001
1,acos,0.25,optimized,90,10,1.001844294058053,1.0009217222430795,0.6685224460940262,0.7690144906869134,0.00075,1.002594294058053,1.008439481483015,0.8075286685097356,0.001
1,acos,0.25,optimized,90,15,1.001844294058053,1.0009217222430795,0.6379083270917841,0.8519922058128728,0.00075,1.002594294058053,1.008439481483015,0.8075286685097356,0.001
